Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords,Source_File,Domain_Category,Access_Type
Issues and challenges in Cloud Storage Architecture: A Survey,Various Authors,2020,arXiv,https://arxiv.org/abs/2004.06809,Cloud storage architectural challenges scalability issues data management,Storage Architecture Limitations,arXiv,automatic
Towards more scalability and flexibility for distributed storage systems,Various Authors,2020,ResearchGate,https://www.researchgate.net/publication/332865660_Towards_more_scalability_and_flexibility_for_distributed_storage_systems,Distributed storage scalability flexibility constraints system design,Storage Architecture Limitations,ResearchGate,automatic
Investigation on storage level data integrity strategies in cloud computing,Various Authors,2024,Journal of Cloud Computing,https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-024-00605-z,Cloud storage integrity security constraints data protection limitations,Storage Architecture Limitations,Springer Open,automatic
New ERA: New efficient reliability-aware wear leveling for endurance enhancement of flash storage devices,Various Authors,2020,ResearchGate,https://www.researchgate.net/publication/261306963_New_ERA_New_efficient_reliability-aware_wear_leveling_for_endurance_enhancement_of_flash_storage_devices,Flash storage endurance wear leveling efficiency reliability constraints,Storage Architecture Limitations,ResearchGate,automatic
A Review of Privacy-preserving Federated Learning for the Internet-of-Things,Multiple Authors,2020,arXiv,https://arxiv.org/abs/2004.11794,IoT federated learning review with privacy preservation methods,Privacy-Preserving Federated Learning,arXiv,automatic
Privacy-preserving Federated Learning based on Multi-key Homomorphic Encryption,Multiple Authors,2021,arXiv,https://arxiv.org/abs/2104.06824,Multi-key HE protocol for federated learning privacy,Privacy-Preserving Federated Learning,arXiv,automatic
Skefl: Single-Key Homomorphic Encryption for Secure Federated Learning,Multiple Authors,2022,arXiv,https://arxiv.org/abs/2212.11394,Single-key HE approach balancing security and performance,Privacy-Preserving Federated Learning,arXiv,automatic
A Selective Homomorphic Encryption Approach for Faster Privacy-Preserving Federated Learning,Multiple Authors,2025,arXiv,https://arxiv.org/abs/2501.12911,Selective encryption for 90% faster execution,Privacy-Preserving Federated Learning,arXiv,automatic
QuanCrypt-FL: Quantized Homomorphic Encryption with Pruning for Secure Federated Learning,Multiple Authors,2024,arXiv,https://arxiv.org/abs/2411.05260v1,Quantized HE with pruning for communication overhead reduction,Privacy-Preserving Federated Learning,arXiv,automatic
Privacy Preserving Federated Learning in Medical Imaging with Uncertainty Estimation,Multiple Authors,2024,arXiv,https://arxiv.org/html/2406.12815v1,Medical imaging FL with uncertainty and privacy,Privacy-Preserving Federated Learning,arXiv,automatic
Advances in Privacy Preserving Federated Learning to Realize a Truly Learning Healthcare System,Multiple Authors,2024,arXiv,https://ar5iv.labs.arxiv.org/html/2409.19756,Healthcare system privacy-preserving FL advances,Privacy-Preserving Federated Learning,arXiv,automatic
Privacy-preserving in Blockchain-based Federated Learning Systems,Multiple Authors,2024,arXiv,https://arxiv.org/html/2401.03552v1,Blockchain integration for privacy preservation,Privacy-Preserving Federated Learning,arXiv,automatic
Auditing Privacy Defenses in Federated Learning via Generative Gradient Leakage,Multiple Authors,2022,arXiv,https://arxiv.org/abs/2203.15696,Gradient leakage attack analysis and defense,Privacy-Preserving Federated Learning,arXiv,automatic
FedMIA: An Effective Membership Inference Attack Exploiting All for One Principle in Federated Learning,Multiple Authors,2024,arXiv,https://arxiv.org/abs/2402.06289,Membership inference attack methodology,Privacy-Preserving Federated Learning,arXiv,automatic
