Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords
Large Scale Multimodal Data Capture Evaluation and Maintenance Framework for Autonomous Driving Datasets,Not specified,2020,IEEE Conference Publication,https://ieeexplore.ieee.org/document/9022151,Autonomous driving data collection framework with standardized evaluation methods
Lessons Learnt from a Multimodal Learning Analytics Deployment In-the-Wild,Not specified,2023,ACM Transactions on Computer-Human Interaction,https://dl.acm.org/doi/10.1145/3622784,MMLA deployment standards and consent frameworks for multimodal data research
Multimodal Object Detection using Depth and Image Data for Manufacturing Parts,Not specified,2024,arXiv,https://arxiv.org/html/2411.09062v2,Multi-sensor calibration and alignment standards for RGB-depth data fusion
Continuous multimodal data supply chain and expandable clinical decision support for oncology,Not specified,2025,npj Digital Medicine,https://www.nature.com/articles/s41746-025-01508-2,Healthcare multimodal data integration standards using HL7 FHIR and quality control protocols
Simplifying Multimodal Clinical Research Data Management: Introducing an Integrated and User-friendly Database Concept,Not specified,2024,PMC/PubMed Central,https://pmc.ncbi.nlm.nih.gov/articles/PMC10972680/,Clinical data management standards with validation mechanisms and quality control measures
Multimodal sensor fusion in the latent representation space,Not specified,2022,Scientific Reports,https://www.nature.com/articles/s41598-022-24754-w,Standardized sensor fusion framework using deep learning and generative models
Sensor Data Acquisition and Multimodal Sensor Fusion for Human Activity Recognition Using Deep Learning,Not specified,2019,MDPI Sensors,https://www.mdpi.com/1424-8220/19/7/1716,Systematic study of sensor positioning and data acquisition protocols for HAR systems
An Incremental Learning Framework to Enhance Teaching by Demonstration Based on Multimodal Sensor Fusion,Not specified,2020,Frontiers in Neurorobotics,https://www.frontiersin.org/journals/neurorobotics/articles/10.3389/fnbot.2020.00055/full,Robot learning framework combining incremental learning with multimodal sensor fusion standards
Multimodal sensor fusion framework for residential building occupancy detection,Not specified,2021,ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0378778821011129,Framework unifying camera microphone and environmental sensor data using ensemble methods
A Comprehensive Framework for Multimodal Sensor Fusion in Intelligent Manufacturing: Innovations Interpretability and Real-world Applications,Not specified,2024,Journal of Computer Technology and Applied Mathematics,https://www.suaspress.org/ojs/index.php/JCTAM/article/view/v1n4a05,Hybrid fusion method with attention mechanisms for intelligent manufacturing sensor integration
Guidelines for designing and building an automated multimodal textual annotation system,Not specified,2023,ACM Multimodal Interaction Conference,https://dl.acm.org/doi/10.1145/3610661.3616182,Guidelines for automated multimodal annotation systems with four use-cases and data collection protocols
Multimodal Coherence Revisited: Notes on the Move From Theory to Data in Annotating Print Advertisements,Not specified,2022,Frontiers in Communication,https://www.frontiersin.org/journals/communication/articles/10.3389/fcomm.2022.900994/full,Annotation framework for multimodal coherence with six dimensions and empirical validation guidelines
The Multimodal Annotation Software Tool (MAST),Not specified,2022,ACL Anthology,https://aclanthology.org/2022.lrec-1.736/,Software tool for multimodal document analysis with standardized annotation schemas and relation establishment
MultiBench: Multiscale Benchmarks for Multimodal Representation Learning,Not specified,2021,OpenReview,https://openreview.net/forum?id=izzQAL8BciY,Unified benchmark spanning 15 datasets 10 modalities 20 prediction tasks with standardized evaluation pipeline
SPIQA: Scientific Paper Image Question Answering,Not specified,2024,NeurIPS,https://neurips.cc/virtual/2024/events/datasets-benchmarks-2024,Large-scale QA dataset for interpreting scientific figures with standardized evaluation splits
HEST-1k: Spatial transcriptomic profiles with WSI and metadata,Not specified,2024,NeurIPS,https://neurips.cc/virtual/2024/events/datasets-benchmarks-2024,Collection of 1229 spatial transcriptomic profiles with standardized metadata from 153 cohorts
InfoMAE: Pair-Efficient Cross-Modal Alignment for Multimodal Time-Series Sensing Signals,Not specified,2025,ACM Web Conference,https://dl.acm.org/doi/10.1145/3696410.3714853,Cross-modal alignment framework for multimodal SSL with information theory-based formulation
Practical Aspects of Cross-Vendor TSN Time Synchronization Using IEEE 802.1AS,Not specified,2024,MDPI,https://www.mdpi.com/2224-2708/14/4/67,Time-Sensitive Networking standards for cross-vendor interoperability and synchronization protocols
IoT Network Model with Multimodal Node Distribution and Data-Collecting Mechanism Using Mobile Clustering Nodes,Not specified,2023,MDPI Electronics,https://www.mdpi.com/2079-9292/12/6/1410,IoT framework with DBSCAN clustering for multimodal sensor data collection and mobile clustering protocols
Quality and Relevance Metrics for Selection of Multimodal Pretraining Data,Not specified,2020,CVPR Workshop,https://openaccess.thecvf.com/content_CVPRW_2020/papers/w56/Rao_Quality_and_Relevance_Metrics_for_Selection_of_Multimodal_Pretraining_Data_CVPRW_2020_paper.pdf,Metrics for multimodal data quality assessment using CLIPScore and cosine similarity filtering
Blind Multimodal Quality Assessment of Low-Light Images,Not specified,2024,International Journal of Computer Vision,https://link.springer.com/article/10.1007/s11263-024-02239-9,BIQA framework for multimodal quality assessment in low-light applications with automated scoring
Privacy preservation in federated learning: An insightful survey from the GDPR perspective,Not specified,2021,ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0167404821002261,Comprehensive survey of privacy-preserving techniques in federated learning with GDPR compliance standards
A Survey on Benchmarks of Multimodal Large Language Models,Not specified,2024,arXiv,https://arxiv.org/abs/2408.08632,Comprehensive review of 200+ MLLM benchmarks covering perception understanding cognition and reasoning
MMMU: A Massive Multi-discipline Multimodal Understanding and Reasoning Benchmark for Expert AGI,Not specified,2023,arXiv,https://arxiv.org/abs/2311.16502,Benchmark with 11.5K questions covering 6 disciplines for college-level multimodal reasoning evaluation
MAVERIX: Multimodal Audio-Visual Evaluation Reasoning IndeX,Not specified,2024,ResearchGate,https://www.researchgate.net/publication/390247649_MAVERIX_Multimodal_Audio-Visual_Evaluation_Reasoning_IndeX,Novel benchmark with 700 videos and 2556 questions for audiovisual model evaluation
