Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords
A Review of Privacy-preserving Federated Learning for the Internet-of-Things,Multiple Authors,2020,arXiv,https://arxiv.org/abs/2004.11794,IoT federated learning review with privacy preservation methods
Secure Federated Learning With Fully Homomorphic Encryption for IoT Communications,Multiple Authors,2023,IEEE Communications,https://ieeexplore.ieee.org/document/10208145/,Fully homomorphic encryption for IoT federated learning
Privacy-preserving Federated Learning based on Multi-key Homomorphic Encryption,Multiple Authors,2021,arXiv,https://arxiv.org/abs/2104.06824,Multi-key HE protocol for federated learning privacy
Skefl: Single-Key Homomorphic Encryption for Secure Federated Learning,Multiple Authors,2022,arXiv,https://arxiv.org/abs/2212.11394,Single-key HE approach balancing security and performance
A Selective Homomorphic Encryption Approach for Faster Privacy-Preserving Federated Learning,Multiple Authors,2025,arXiv,https://arxiv.org/abs/2501.12911,Selective encryption for 90% faster execution
QuanCrypt-FL: Quantized Homomorphic Encryption with Pruning for Secure Federated Learning,Multiple Authors,2024,arXiv,https://arxiv.org/abs/2411.05260v1,Quantized HE with pruning for communication overhead reduction
Federated Learning With Differential Privacy: Algorithms and Performance Analysis,Multiple Authors,2020,IEEE TIFS,https://dl.acm.org/doi/10.1109/TIFS.2020.2988575,Differential privacy algorithms and performance analysis
Differentially private secure multi-party computation for federated learning in financial applications,Multiple Authors,2020,ACM ICAIF,https://dl.acm.org/doi/abs/10.1145/3383455.3422562,Financial applications with DP-SMPC
MPCFL: Towards Multi-party Computation for Secure Federated Learning Aggregation,Multiple Authors,2023,IEEE/ACM UCC,https://dl.acm.org/doi/10.1145/3603166.3632144,MPC-based secure aggregation framework
Privacy Preserving Federated Learning in Medical Imaging with Uncertainty Estimation,Multiple Authors,2024,arXiv,https://arxiv.org/html/2406.12815v1,Medical imaging FL with uncertainty and privacy
Advances in Privacy Preserving Federated Learning to Realize a Truly Learning Healthcare System,Multiple Authors,2024,arXiv,https://ar5iv.labs.arxiv.org/html/2409.19756,Healthcare system privacy-preserving FL advances
Toward Privacy Preserving Federated Learning in Internet of Vehicular Things,Multiple Authors,2021,IEEE,https://ieeexplore.ieee.org/document/9556600/,Vehicular IoT privacy-preserving federated learning
A Secure Federated Learning framework using Homomorphic Encryption and Verifiable Computing,Multiple Authors,2021,IEEE,https://ieeexplore.ieee.org/document/9452005/,HE and verifiable computing framework
Secure Federated Learning for Parkinson's Disease: Non-IID Data Partitioning and Homomorphic Encryption Strategies,Multiple Authors,2024,IEEE,https://ieeexplore.ieee.org/document/10666687/,Medical application with HE strategies
Privacy-preserving in Blockchain-based Federated Learning Systems,Multiple Authors,2024,arXiv,https://arxiv.org/html/2401.03552v1,Blockchain integration for privacy preservation
Auditing Privacy Defenses in Federated Learning via Generative Gradient Leakage,Multiple Authors,2022,arXiv,https://arxiv.org/abs/2203.15696,Gradient leakage attack analysis and defense
FedMIA: An Effective Membership Inference Attack Exploiting All for One Principle in Federated Learning,Multiple Authors,2024,arXiv,https://arxiv.org/abs/2402.06289,Membership inference attack methodology
Trading Off Privacy Utility and Efficiency in Federated Learning,Multiple Authors,2023,ACM TIST,https://dl.acm.org/doi/10.1145/3595185,Privacy-utility-efficiency tradeoff analysis
Privacy and Fairness in Federated Learning: On the Perspective of Tradeoff,Multiple Authors,2023,ACM Computing Surveys,https://dl.acm.org/doi/10.1145/3606017,Comprehensive survey on privacy-fairness tradeoffs
Balancing privacy and performance in federated learning: A systematic literature review,Multiple Authors,2024,ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0743731524000820,Systematic review of privacy-performance balance
Toward the Tradeoffs between Privacy Fairness and Utility in Federated Learning,Multiple Authors,2023,arXiv,https://arxiv.org/abs/2311.18190,Multi-dimensional tradeoff analysis
Privacy preservation in federated learning: An insightful survey from the GDPR perspective,Multiple Authors,2021,ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0167404821002261,GDPR compliance survey for federated learning
Group verifiable secure aggregate federated learning based on secret sharing,Multiple Authors,2025,Nature Scientific Reports,https://www.nature.com/articles/s41598-025-94478-0,Secret sharing for verifiable secure aggregation
Membership Inference Attacks and Defenses in Federated Learning: A Survey,Multiple Authors,2024,arXiv,https://arxiv.org/html/2412.06157v1,Comprehensive MIA survey and defense mechanisms
Share Your Representation Only: Guaranteed Improvement of the Privacy-Utility Tradeoff in Federated Learning,Multiple Authors,2024,OpenReview,https://openreview.net/forum?id=oJpVVGXu9i,Representation learning for improved privacy-utility tradeoff
