Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords
An Ecosystem for Personal Knowledge Graphs: A Survey and Research Roadmap,"19 Apr 2023 , last revised 15 Mar 2024",2023,arXiv,https://arxiv.org/abs/2304.09572,"# Computer Science > Artificial Intelligence **arXiv:2304.09572** (cs) \[Submitted on 19 Apr 2023 ( [v1](https://arxiv.org/abs/2304.09572v1)), last revised 15 Mar 2024 (this version, v2)\] # Title:An ..."
"1+1>2: Programming Know-What and Know-How Knowledge Fusion, Semantic Enrichment and Coherent Application","Qing Huang,Zhiqiang Yuan,Zhenchang Xing,Zhentao Zuo,Changjing Wang,Xin Xia",2023,arXiv,https://export.arxiv.org/pdf/2207.05560v3.pdf,"Qing Huang Zhiqiang Yuan Zhenchang Xing Zhengkang Zuo Changjing Wang Xin Xia +1>2: Programming Know-What and Know-How Knowledge Fusion, Semantic Enrichment and Coherent Application 1Index Terms-Softwa..."
Insert Your Title Here,"FirstName Surname†, FirstName Surname, FirstName Surname",2021,arXiv,https://arxiv.org/pdf/2103.01387v1.pdf,"On a Factorial Knowledge Architecture for Data Science-powered Software Engineering ∗ Zheng Li Department of Computer Science University of Concepción Concepción, Chile imlizheng@gmail.com ABSTRACT Gi..."
A Classification for Managing Software Engineering Knowledge,"Angelika  Kaplan, angelika.kaplan@kit.edu, Maximilian  Walter, maximilian.walter@kit.edu, Robert  He",2021,ACM Digital Library,https://dl.acm.org/doi/10.1145/3463274.3463357,"This taxonomy paper presents a novel way of knowledge engineering in the software engineering research community. Till now, research papers are organized digitally as documents, mostly in PDF files. N..."
Future Research Directions of Software Engineering and Knowledge Engineering,"Haiping  Xu, University of Massachusetts Dartmouth North Dartmouth, 02747, MA, USA, hxu@umassd.edu",2015,World Scientific,https://www.worldscientific.com/doi/abs/10.1142/S0218194015500035,"Software Engineering (SE) and Knowledge Engineering (KE) are closely related disciplines with goals of turning the development process of software systems and knowledge-based systems, respectively, in..."
Beyond Information Silos - an Omnipresent Approach to Software Evolution,"Juergen  Rilling, rilling@cse.concordia.ca, Ren É Witte, rwitte@cse.concordia.ca, Philipp  Schuegerl",1451,World Scientific,https://www.worldscientific.com/doi/abs/10.1142/S1793351X08000567,"Nowadays, software development and maintenance are highly distributed processes that involve a multitude of supporting tools and resources. Knowledge relevant for a particular software maintenance tas..."
Managing Software Security Knowledge in Context: An Ontology Based Approach,Basel Katt,2019,MDPI,https://www.mdpi.com/2078-2489/10/6/216,## 1\. Introduction Knowledge of software security is highly complex since it is quite context-specific and can be applied in diverse ways \[ [1](http://www.mdpi.com/www.mdpi.com#B1-information-10-002...
Smart Knowledge Transfer using Google-like Search,"Srijoni Majumdar,Partha Pratim Das",2023,arXiv,https://arxiv.org/pdf/2308.06653.pdf,Smart Knowledge Transfer using Google-like Search Srijoni Majumdar majumdar.srijoni@gmail.com Advanced Technology Development Centre Department of Computer Science and Engineering Indian Institute of ...
(PDF) TOWARDS A SYSTEMS ENGINEERING ONTOLOGY STACK,,2024,ResearchGate,https://www.researchgate.net/publication/383858587_TOWARDS_A_SYSTEMS_ENGINEERING_ONTOLOGY_STACK,"Semantic Web Technologies (SWTs) provide an approach to the structuring and understanding of data. SWTs utilize ontologies, reasoners, and query languages to structure existing knowledge, validate kno..."
Microsoft Word - INCOSE_SWTMethodology_v20.docx,,2023,arXiv,https://arxiv.org/pdf/2206.10454.pdf,1 Driving Digital Engineering Integration and Interoperability Through Semantic Integration of Models with Ontologies Daniel Dunbar1 | Thomas Hagedorn1 | Mark Blackburn1 | John Dzielski1 | Steven Hesp...
\framework: Bridging Large Language Models and Code Repositories via Code Graph Databases,Equal contribution. Work was done during Xiangyan’s internship at Alibaba.,2024,arXiv,https://arxiv.org/html/2408.03910v2,"# \\framework: Bridging Large Language Models and Code Repositories via Code Graph Databases Xiangyan Liu1,3, Bo Lan2,∗ Zhiyuan Hu1Yang Liu3Zhicheng Zhang3 Fei Wang2Michael Shieh1Wenmeng Zhou3 1 Natio..."
"S3LLM: Large-Scale Scientific Software Understanding with LLMs using Source, Metadata, and Document",15 Mar 2024,2024,arXiv,https://arxiv.org/abs/2403.10588,"# Computer Science > Software Engineering **arXiv:2403.10588** (cs) \[Submitted on 15 Mar 2024\] # Title:S3LLM: Large-Scale Scientific Software Understanding with LLMs using Source, Metadata, and Docu..."
Towards a GML-Enabled Knowledge Graph Platform,"Hussein Abdallah,Essam Mansour",2023,arXiv,https://export.arxiv.org/pdf/2303.02166v1.pdf,Hussein Abdallah hussein.abdallah@concordia.ca Concordia University Concordia University Essam Mansour essam.mansour@concordia.ca Concordia University Concordia University Towards a GML-Enabled Knowle...
Exploring knowledge graph-based neural-symbolic system from application perspective,First Author,2025,arXiv,https://arxiv.org/html/2405.03524v3,"# Exploring knowledge graph-based neural-symbolic system from application perspective Shenzhe ZhuUniversity of TorontoToronto, Canadacho.zhu@mail.utoronto.caShengxiang SunUniversity of TorontoToronto,..."
