Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords
An Ecosystem for Personal Knowledge Graphs: A Survey and Research Roadmap,"19 Apr 2023 , last revised 15 Mar 2024",2023,arXiv,https://arxiv.org/abs/2304.09572,"# Computer Science > Artificial Intelligence **arXiv:2304.09572** (cs) \[Submitted on 19 Apr 2023 ( [v1](https://arxiv.org/abs/2304.09572v1)), last revised 15 Mar 2024 (this version, v2)\] # Title:An ..."
Electronic Health Record–Oriented Knowledge Graph System for ...,Yong Shang,2024,JMIR,https://www.jmir.org/2024/1/e54263/,"#### Original Paper - [Yong Shang1\*, PhD](https://www.jmir.org/search/searchResult?field%5B%5D=author&criteria%5B%5D=Yong+Shang); - [Yu Tian2,3\*, PhD](https://www.jmir.org/search/searchResult?field%..."
Data Integration Challenges for Machine Learning in Precision Medicine,"Mireya Martínez-García, Enrique Hernández-Lemus",2022,Frontiers,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2021.784455/full,"1. Introduction Contemporary biomedical research and medical practices are increasingly turning into data-intensive fields, for which computational intelligence approaches, such as those based on arti..."
Data Integration Challenges for Machine Learning in Precision Medicine,Enrique Hernández-Lemus,2022,Frontiers,https://www.frontiersin.org/articles/10.3389/fmed.2021.784455/pdf,"REVIEW published: 25 January 2022 doi: 10.3389/fmed.2021.784455 Frontiers in Medicine | www.frontiersin.org 1 January 2022 | Volume 8 | Article 784455 Edited by: Yuguang Wang, Shanghai Jiao Tong Unive..."
An open source knowledge graph ecosystem for the life sciences,"Hunter, Lawrence E.",2024,Nature,https://www.nature.com/articles/s41597-024-03171-w,"## Introduction The worldwide growth of biomedical data is exponential, with the volume of molecular data alone expected to surpass more than four exabytes by 2025[1](https://www.nature.com/articles/s..."
[PDF] Knowledge Graphs for the Life Sciences - City Research Online,Neil Stewart,2023,Other,https://openaccess.city.ac.uk/31611/8/TGDK.1.1.5.pdf,"City, University of London Institutional Repository Citation: Chen, J., Dong, H., Hastings, J., Jimenez-Ruiz, E., Lopez, V., Monnin, P., Pesquita, C., Škoda, P. & Tamma, V. (2023). Knowledge Graphs fo..."
Integrating Manifold Knowledge for Global Entity Linking with Heterogeneous Graphs,"Zhibin Chen,Yuting Wu,Yansong Feng,Dongyan Zhao",2021,MIT Press,https://direct.mit.edu/dint/article-pdf/4/1/20/1985039/dint_a_00116.pdf,Yuting Wu Zhibin Chen Wangxuan Institute of Computer Technology Peking University 100871BeijingChina Center for Data Science Peking University 100871BeijingChina Yuting Wu Wangxuan Institute of Comput...
Data Harmonization for Heterogeneous Datasets: A Systematic Literature Review,"Ganesh Kumar, Shuib Basri, Abdullahi Abubakar Imam, Sunder Ali Khowaja, Luiz Fernando Capretz and Ab",2021,MDPI,https://mdpi-res.com/d_attachment/applsci/applsci-11-08275/article_deploy/applsci-11-08275-v2.pdf?version=1631073461,"applied sciences Review Data Harmonization for Heterogeneous Datasets: A Systematic Literature Review Ganesh Kumar 1,* , Shuib Basri 1 , Abdullahi Abubakar Imam 1,2, Sunder Ali Khowaja 3, Luiz Fernand..."
Knowledge Graphs: Opportunities and Challenges,"Ciyuan Peng,Feng Xia,Mehdi Naseriparsa,Francesco Osborne",2023,arXiv,https://export.arxiv.org/pdf/2303.13948v1.pdf,"Ciyuan Peng ciyuan.p@outlook.com Institute of Innovation, Science and Sustainability Federation University Australia 3353Ballarat VIC Australia Introduction · Feng Xia School of Computing Technologies..."
"Knowledge Graphs in Practice: Characterizing their Users, Challenges, and Visualization Opportunities","Harry Li,Gabriel Appleby,Camelia Daniela Brumar,Remco Chang,Ashley Suh",2024,arXiv,https://export.arxiv.org/pdf/2304.01311v3.pdf,"Harry Li Gabriel Appleby Camelia Daniela Brumar Remco Chang Ashley Suh Knowledge Graphs in Practice: Characterizing their Users, Challenges, and Visualization Opportunities Index Terms-Knowledge graph..."
