Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords
A Human Digital Twin Architecture for Knowledge-based Interactions and Context-Aware Conversations,4 Apr 2025,2025,arXiv,https://arxiv.org/abs/2504.03147,# Computer Science > Human-Computer Interaction **arXiv:2504.03147** (cs) \[Submitted on 4 Apr 2025\] # Title:A Human Digital Twin Architecture for Knowledge-based Interactions and Context-Aware Conve...
Personalized Diabetes Management with Digital Twins: A Patient-Centric Knowledge Graph Approach,,2024,PubMed/PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11051158/,## Abstract Diabetes management requires constant monitoring and individualized adjustments. This study proposes a novel approach that leverages digital twins and personal health knowledge graphs (PHK...
Personalizing Large Language Models using Retrieval Augmented Generation and Knowledge Graph,15 May 2025,2025,arXiv,https://arxiv.org/abs/2505.09945,"[View PDF](https://arxiv.org/pdf/2505.09945) [HTML (experimental)](https://arxiv.org/html/2505.09945v1) > Abstract:The advent of large language models (LLMs) has allowed numerous applications, includi..."
RHealthTwin: Towards Responsible and Multimodal Digital Twins for Personalized Well-being,10 Jun 2025,2025,arXiv,https://arxiv.org/abs/2506.08486,"View PDF Abstract: The rise of large language models (LLMs) has created new possibilities for digital twins in healthcare. However, the deployment of such systems in consumer health contexts raises si..."
Cognitive Ledger Project: Towards Building Personal Digital Twins Through Cognitive Blockchain,Amir R. Asadi,2023,arXiv,https://export.arxiv.org/pdf/2201.08163v2.pdf,Reza Amir Humind Labs Tehran Iran Asadi a.asadi@humind.xyz Humind Labs Tehran Iran Cognitive Ledger Project: Towards Building Personal Digital Twins Through Cognitive Blockchain Cognitive ComputingKno...
(PDF) Human Digital Twin - Systematic Literature Review and Concept Disambiguation for Industry 5.0,,2024,ResearchGate,https://www.researchgate.net/publication/383334415_Human_Digital_Twin_-_Systematic_Literature_Review_and_Concept_Disambiguation_for_Industry_50,- [Home](https://www.researchgate.net/directory/publications) - [Maternity Care](https://www.researchgate.net/topic/Maternity-Care/publications) - [Pregnancy](https://www.researchgate.net/topic/Pregna...
Human digital twins: A systematic literature review and concept disambiguation for industry 5.0,"Ben Gaffinet, Jana Al Haj Ali, Yannick Naudet, Hervé Panetto",2025,HAL Archives,https://hal.science/hal-04864742v1/document,"HAL Id: hal-04864742 https://hal.science/hal-04864742v1 Submitted on 5 Jan 2025 HAL is a multi-disciplinary open access archive for the deposit and dissemination of scientific research documents, whe..."
Networking Technologies for Enabling Human Digital Twin in Personalized Healthcare Applications: A Comprehensive Survey,,2023,arXiv,https://export.arxiv.org/pdf/2301.03930v1.pdf,"Jiayuan Chen Member, IEEEChangyan Yi Member, IEEESamuel D Okegbile Senior Member, IEEEJun Cai Xuemin Fellow, IEEESherman Shen Networking Technologies for Enabling Human Digital Twin in Personalized He..."
Human Body Digital Twin: A Master Plan,Tang; Chenyu; Gao; Shuo; Occhipinti; Luigi G,2023,arXiv,https://arxiv.org/abs/2307.09225v1,"Download PDF The human body DT has the potential to revolutionize healthcare and wellness, but its responsible and effective implementation requires consideration of various factors. This article pres..."
Digital Twins for Patient Care via Knowledge Graphs and Closed-Form Continuous-Time Liquid Neural Networks,Logan Nye,2023,arXiv,https://export.arxiv.org/pdf/2307.04772v1.pdf,MDLogan Nye SORG Orthopaedic Research Group Department of Orthopaedic Surgery Massachusetts General Hospital Digital Twins for Patient Care via Knowledge Graphs and Closed-Form Continuous-Time Liquid ...
A human digital twin for the M-Machine,Saariluoma; Pertti; Myllylä; Mari; Karvonen; Antero; Luimula; Mika; Aho; Jami,2024,Springer,https://link.springer.com/article/10.1007/s44163-024-00164-x?utm_source=twitter&utm_medium=organic_social&utm_content=null&utm_campaign=CONR_JRNLS_AWA1_GL_PCOM_SMEDA_DISC,"Introduction Society 5.0 and its industrial component, Industry 5.0 programs, are changing thinking regarding technology design [ 1, 2, 3]. In the future, the focus of design will likely be as much on..."
"Ontologies in digital twin: Methodology, lessons learned and practical approach",,2023,Other,https://zenodo.org/record/8074139,"Published June 22, 2023 | Version v1 Conference paper Open Creators 1. ASM Research Solution Strategy 2. Universidad Politécnica de Madrid 3. DigitalTwin Technology GmbH 4. SINTEF, Trondheim, Norway 5..."
"Patient-centric knowledge graphs: a survey of current methods, challenges, and applications","Hassan S. Al Khatib, Subash Neupane, Harish Kumar Manchukonda, Noorbakhsh Amiri Golilarz, Sudip Mitt",2024,Frontiers,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2024.1388479/full,"## 1 Introduction The healthcare industry has experienced a significant shift, transitioning from traditional, provider-centric models toward patient-centered care. This shift highlights the critical ..."
KG4Diagnosis: A Hierarchical Multi-Agent LLM Framework with Knowledge Graph Enhancement for Medical Diagnosis,"22 Dec 2024 , last revised 28 Mar 2025 (this version, v4)",2024,arXiv,https://arxiv.org/abs/2412.16833,[View PDF](https://arxiv.org/pdf/2412.16833) [HTML (experimental)](https://arxiv.org/html/2412.16833v4) > Abstract:Integrating Large Language Models (LLMs) in healthcare diagnosis demands systematic f...
HealthGenie: Empowering Users with Healthy Dietary Guidance through Knowledge Graph and Large Language Models,20 Apr 2025,2025,arXiv,https://arxiv.org/abs/2504.14594,[View PDF](https://arxiv.org/pdf/2504.14594) [HTML (experimental)](https://arxiv.org/html/2504.14594v1) > Abstract:Seeking dietary guidance often requires navigating complex professional knowledge whi...
An Ecosystem for Personal Knowledge Graphs: A Survey and Research Roadmap,"19 Apr 2023 , last revised 15 Mar 2024",2023,arXiv,https://arxiv.org/abs/2304.09572,"# Computer Science > Artificial Intelligence **arXiv:2304.09572** (cs) \[Submitted on 19 Apr 2023 ( [v1](https://arxiv.org/abs/2304.09572v1)), last revised 15 Mar 2024 (this version, v2)\] # Title:An ..."
"Knowledge Net: Model and System for Accumulation, Representation, and Use of Knowledge","Olga  Tushkanova, St. Petersburg Institute for Informatics and Automation of RAS, 14 th Line V.O., 3",2019,ScienceDirect,https://www.sciencedirect.com/science/article/pii/S2405896319313291,[Skip to main content](https://www.sciencedirect.com/science/article/pii/S2405896319313291#screen-reader-main-content) [Skip to article](https://www.sciencedirect.com/science/article/pii/S240589631931...
Universal Digital Twin - A Dynamic Knowledge Graph,"Amit Bhave Affiliation: CMCL Innovations, Cambridge CB3 0AX, United Kingdom",2021,Other,https://www.cambridge.org/core/journals/data-centric-engineering/article/universal-digital-twin-a-dynamic-knowledge-graph/FD25CDFF886CD2ED33D1FDFC13F6BEAB,![](https://www.cambridge.org/core/cambridge-core/public/images/logo_core.png) [![Cambridge Core Home](https://www.cambridge.org/core/cambridge-core/public/images/logo_core.svg)Home](https://www.cambr...
Personal Knowledge Graphs: A Research Agenda,Krisztian Balog and Tom Kenter,2019,Other,https://krisztianbalog.com/files/ictir2019-pkg.pdf,"Personal Knowledge Graphs: A Research Agenda Krisztian Balog Google London, UK krisztianb@google.com Tom Kenter Google London, UK tomkenter@google.com ABSTRACT Knowledge graphs, organizing structured ..."
A comprehensive survey of personal knowledge graphs,,2023,Other,https://typeset.io/pdf/a-comprehensive-survey-of-personal-knowledge-graphs-1xz6ez6mjz.pdf,"FOCUS ARTICLE A comprehensive survey of personal knowledge graphs Prantika Chakraborty | Debarshi Kumar Sanyal School of Mathematical and Computational Sciences, Indian Association for the Cultivation..."
Applying Personal Knowledge Graphs to Health,"Sola Shirai,Oshani Seneviratne,Deborah L. McGuinness",2021,arXiv,https://arxiv.org/pdf/2104.07587v1.pdf,Sola Shirai Rensselaer Polytechnic Institute TroyNew YorkUSA Oshani Seneviratne Rensselaer Polytechnic Institute TroyNew YorkUSA Deborah L Mcguinness Rensselaer Polytechnic Institute TroyNew YorkUSA A...
Lifelong Personal Context Recognition,"Andrea Bontempelli,Marcelo Rodas Britez,Xiaoyue Li,Haonan Zhao,Luca Erculiani,Stefano Teso,Andrea Pa",2022,arXiv,https://arxiv.org/pdf/2205.10123v1.pdf,Andrea Bontempelli University of Trento Italy Marcelo Rodas Britez University of Trento Italy Xiaoyue Li University of Trento Italy Haonan Zhao University of Trento Italy Luca Erculiani University of ...
Designing decentralized knowledge management systems to effectuate individual and collective generative capacities,Ulrich Schmitt can be contacted at: schmitt@knowcations.org,2019,Other,https://www.emerald.com/insight/content/doi/10.1108/K-03-2019-0215/full/html,"## Abstract ### Purpose In addressing the future trajectory of knowledge management systems, this paper uses the psycho-social notion of generativity which recently stimulated contributions in technol..."
AGENTiGraph: An Interactive Knowledge Graph Platform for LLM-based Chatbots Utilizing Private Data,15 Oct 2024,2024,arXiv,https://arxiv.org/abs/2410.11531,"Authors: [Xinjie Zhao](https://arxiv.org/search/cs?searchtype=author&query=Zhao,+X), [Moritz Blum](https://arxiv.org/search/cs?searchtype=author&query=Blum,+M), [Rui Yang](https://arxiv.org/search/cs?..."
Deriving Design Knowledge Graph for Complex Sociotechnical Systems Using the AIA Design Thinking,"Tao Shen,Chan Gao,Yukari Nagai,Wei Ou",2021,Other,https://downloads.hindawi.com/journals/misy/2021/6416061.pdf,Tao Shen College of Design and Innovation Tongji University ShanghaiChina Chan Gao Architecture Department Huzhou University HuzhouZhejiangChina Knowledge Science Japan Advanced Institute of Science a...
FAIR Digital Twins for Data-Intensive Research,Erik Schultes and Barend Mons,2022,Frontiers,https://www.frontiersin.org/articles/10.3389/fdata.2022.883341/pdf,"PERSPECTIVE published: 11 May 2022 doi: 10.3389/fdata.2022.883341 Frontiers in Big Data | www.frontiersin.org 1 May 2022 | Volume 5 | Article 883341 Edited by: Corina Pascu, European Union Agency for ..."
Personal Research Knowledge Graphs,Chakraborty; Prantika; Dutta; Sudakshina; Sanyal; Debarshi Kumar,2022,arXiv,https://arxiv.org/abs/2204.11428,"Download PDF Abstract: Maintaining research-related information in an organized manner can be challenging for a researcher. In this paper, we envision personal research knowledge graphs (PRKGs) as a m..."
(PDF) Weaving a Decentralized Semantic Web of (Personal) Knowledge,,2019,ResearchGate,https://www.researchgate.net/publication/334126329_Weaving_a_Decentralized_Semantic_Web_of_Personal_Knowledge,PreprintPDF Available # Weaving a Decentralized Semantic Web of (Personal) Knowledge - June 2019 - June 2019 DOI: [10.13140/RG.2.2.23855.07844](http://dx.doi.org/10.13140/RG.2.2.23855.07844) Authors: ...
,,2023,arXiv,https://arxiv.org/pdf/2004.00071.pdf,"arXiv:2004.00071v2 [cs.AI] 7 May 2020 Personal Health Knowledge Graphs for Patients Nidhi Rastogi, Ph.D.1, Mohammed J. Zaki, Ph.D.1 1Rensselaer Polytechnic Institute, Troy, New York, U.S.A. Abstract E..."
Personal Health Knowledge Graph for Clinically Relevant Diet Recommendations,,2023,arXiv,https://arxiv.org/pdf/2110.10131.pdf,"Personal Health Knowledge Graph for Clinically Relevant Diet Recommendations Oshani Seneviratne1, Jonathan Harris1, Ching-Hua Chen2and Deborah L. McGuinness1 1Rensselaer Polytechnic Institute, 110 8th..."
Using a Personal Health Library–Enabled mHealth Recommender System for Self-Management of Diabetes Among Underserved Populations: Use Case for Knowledge Graphs and Linked Data,"Nariman Ammar,James E. Bailey,Robert L. Davis,Arash Shaban-Nejad",2021,JMIR,https://formative.jmir.org/2021/3/e24738/PDF,Nariman Ammar Department of Pediatrics College of Medicine Oak Ridge National Laboratory Center for Biomedical Informatics The University of Tennessee Health Science Center MemphisTNUnited States PhD;...
Knowledge Management System with NLP-Assisted Annotations: A Brief Survey and Outlook,Baihan Lin,2022,arXiv,https://export.arxiv.org/pdf/2206.07304v2.pdf,"Knowledge Management System with NLP-Assisted Annotations: A Brief Survey and Outlook Baihan Lin1,∗ 1Columbia University, New York, NY 10027, USA Abstract Knowledge management systems (KMS) are in hig..."
"Knowledge Graph Construction: Extraction, Learning, and Evaluation",Yuchul Jung,2025,MDPI,https://www.mdpi.com/2076-3417/15/7/3727,"## Article Menu Font Type: _Arial__Georgia__Verdana_ Open AccessReview by Seungmin Choi 1 and Yuchul Jung 2,\* 1 Department of Computer Engineering, Kumoh National Institute of Technology, Gumi-si 391..."
Knowledge Graph Building Blocks: An easy-to-use Framework for developing FAIREr Knowledge Graphs,"Lars Vogt,Marcel Konrad,Manuel Prinz",2023,arXiv,https://export.arxiv.org/pdf/2304.09029v1.pdf,Lars Vogt correspondingauthor:lars.m.vogt@gmail.com Leibniz Information Centre for Science and Technology Welfengarten 1B30167HanoverGermany Knowledge Graph Building Blocks: An easy-to-use Framework f...
Knowledge Graph Tuning: Real-time Large Language Model Personalization based on Human Feedback,30 May 2024,2024,arXiv,https://arxiv.org/abs/2405.19686,[View PDF](https://arxiv.org/pdf/2405.19686) [HTML (experimental)](https://arxiv.org/html/2405.19686v1) > Abstract:Large language models (LLMs) have demonstrated remarkable proficiency in a range of n...
leveraging digital twins and personal knowledge graphs in ...,,2023,PubMed/PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC10733505/,Abstract Healthcare has always been a strategic domain in which innovative technologies can be applied to increase the effectiveness of services and patient care quality. Recent advancements have been...
Quality-Focused Design Patterns for Digital Twin Systems - SSRN,See all articles by Carlo Human,2024,Other,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4798807,"35 Pages Posted: 18 Apr 2024 Abstract Complex physical systems have diverse details such as stakeholder needs, data integration, and software quality requirements. A system of digital twins, comprisin..."
Managing human-AI collaborations within Industry 5.0 scenarios via knowledge graphs: key challenges and lessons learned,,2024,PubMed/PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11586345/,"## Abstract In this paper, we discuss technologies and approaches based on Knowledge Graphs (KGs) that enable the management of inline human interventions in AI-assisted manufacturing processes in Ind..."
Knowledge graph-based data integration system for digital twins of ...,,2023,ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0926580523003692,- View **PDF** Under a Creative Commons [license](http://creativecommons.org/licenses/by-nc/4.0/) Open access ## Highlights - • Digital twin requirements for built assets in the built environment. - •...
Designing a System Architecture for Dynamic Data Collection as a Foundation for Knowledge Modeling in Industry,Markus Wagner,2025,MDPI,https://www.mdpi.com/2076-3417/15/9/5081,"## 1\. Introduction In the data-driven economy of Industry 4.0, the ability to efficiently collect, analyze, and utilize data is crucial for competitiveness and innovation \[ [1](http://www.mdpi.com/w..."
Design for a Digital Twin in Clinical Patient Care,2 May 2025,2025,arXiv,https://arxiv.org/abs/2505.01206,"Authors: Anna-Katharina Nitschke (1), Carlos Brandl (1), Fabian Egersdörfer (1), Magdalena Görtz (2 and 3), Markus Hohenfellner (3), Matthias Weidemüller (1) ((1) Physikalisches Institut, Universität ..."
Human Digital Twin: A Survey,"Yujia Lin,Liming Chen,Aftab Ali,Christopher Nugent,Ian Cleland,Rongyang Li,Dazhi Gao,Hang Wang,Yajie",2022,arXiv,https://export.arxiv.org/pdf/2212.05937v1.pdf,"Yujia Lin Liming Chen l.chen@ulster.ac.uk School of Computing Ulster University 2-24 York StreetBT15 1APBelfast, BelfastUnited Kingdom † Aftab Ali a.ali@ulster.ac.uk School of Computing Ulster Univers..."
Preliminary Systemic Model of (Human) Digital Twin,"Keywords: Digital Twin, Human Model, Industry4.0",2023,ACM Digital Library,https://dl.acm.org/doi/fullHtml/10.1145/3594806.3596596,| | | --- | | [![ACM Logo](https://dl.acm.org/pubs/lib/images/acm_logo.jpg)](http://www.acm.org) [![ACM Logo](https://dl.acm.org/pubs/lib/images/acm_logo_mobile.jpg)](http://www.acm.org) | | ☰ Article...
(PDF) Human digital twin with applications,,2022,ResearchGate,https://www.researchgate.net/publication/362947115_Human_digital_twin_with_applications,- [Home](https://www.researchgate.net/directory/publications) - [Pregnancy](https://www.researchgate.net/topic/Pregnancy/publications) - [Medicine](https://www.researchgate.net/topic/Medicine/publicat...
A Human Digital-Twin-Based Framework Driving Human Centricity towards Industry 5.0,Gianfranco E. Modoni and Marco Sacco,2023,MDPI,https://mdpi-res.com/d_attachment/sensors/sensors-23-06054/article_deploy/sensors-23-06054.pdf?version=1688109680,"Citation: Modoni, G.E.; Sacco, M. A Human Digital-Twin-Based Framework Driving Human Centricity towards Industry 5.0. Sensors 2023, 23, 6054. https:// doi.org/10.3390/s23136054 Academic Editors: Houci..."
Networking Architecture and Key Technologies for Human Digital Twin in Personalized Healthcare: A Comprehensive Survey,,2023,arXiv,https://export.arxiv.org/pdf/2301.03930v2.pdf,Jiayuan Chen jiayuan.chen@nuaa.edu.cn. College of Computer Science and Technol-ogy Department of Electrical and Computer En-gineering are with the Network Intelligence and Inno-vation Laboratory (NI 2...
AI-Powered System to Facilitate Personalized Adaptive Learning in Digital Transformation,Horacio González-Vélez,2025,MDPI,https://www.mdpi.com/2076-3417/15/9/4989,"## Article Menu Font Type: _Arial__Georgia__Verdana_ Open AccessArticle by Yao Yao \* and Horacio González-Vélez \* National College of Ireland, D01 N6P6 Dublin, Ireland \* Authors to whom corresponde..."
Knowledge Patterns,"Peter Clark,John A. Thompson,B. Porter",2020,arXiv,https://arxiv.org/pdf/2005.04306.pdf,"Knowledge Patterns Peter Clark peter.e.clark@boeing.com Knowledge Systems, Boeing Mathematics and Computing Technology MS 7L66 PO Box 370798124SeattleWA John Thompson john.a.thompson@boeing.com Knowle..."
,,2021,arXiv,https://arxiv.org/pdf/2106.12857v1.pdf,"Pattern-based Visualization of Knowledge Graphs Luigi Asprino 1 , Christian Colonna 1 , Misael Mongiov`ı 2 , Margherita Porena 2 , and Valentina Presutti 1,2 1 University of Bologna, Bologna, Italy 2 ..."
Personalized Artificial General Intelligence (AGI) via Neuroscience-Inspired Continuous Learning Systems,Rajeev Gupta,2025,arXiv,https://arxiv.org/html/2504.20109v1,"Suhani Gupta Ronak Parikh Divya Gupta Amir Javaheri Jairaj Singh Shaktawat Department of AI and Robotics, IGNITE Pathways, Dublin, California, USA Department of Youth Wellness and Research, Neuro Heal..."
An Ontology Design Pattern for Role-Dependent Names,"R. Rayan,C. Shimizu,P. Hitzler",2023,arXiv,https://arxiv.org/pdf/2305.02077.pdf,An Ontology Design Pattern for Role-Dependent Names Rushrukh Rayan Kansas State University USA Cogan Shimizu Wright State University USA Pascal Hitzler Kansas State University USA An Ontology Design P...
Unifying Large Language Models and Knowledge Graphs: A Roadmap,,2024,arXiv,https://ar5iv.labs.arxiv.org/html/2306.08302,"# Unifying Large Language Models and Knowledge Graphs: A Roadmap Shirui Pan, _Senior Member, IEEE_, Linhao Luo, Yufei Wang, Chen Chen, Jiapu Wang, Xindong Wu, Fellow, IEEEShirui Pan is with the School..."
Human digital twin: a survey | Journal of Cloud Computing | Full Text,"Ning, Huansheng",2024,Springer,https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-024-00691-z,Search all SpringerOpen articles Search Human digital twin: a survey [Download PDF](https://journalofcloudcomputing.springeropen.com/counter/pdf/10.1186/s13677-024-00691-z.pdf) [Download PDF](https://...
Personalized Health Knowledge Graph,,2018,PubMed/PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8532078/,. Author manuscript; available in PMC: 2021 Oct 22. _Published in final edited form as:_ CEUR Workshop Proc. 2018 Oct;2317:5. ## Abstract Our current health applications do not adequately take into ac...
Human Digital Twin in Industry 5.0: A Holistic Approach to Worker Safety and Well-Being through Advanced AI and Emotional Analytics,,2024,PubMed/PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC10818408/,"## Abstract This research introduces a conceptual framework designed to enhance worker safety and well-being in industrial environments, such as oil and gas construction plants, by leveraging Human Di..."
Reframing a Novel Decentralized Knowledge Management Concept as a Desirable Vision: As We May Realize the Memex,Ulrich Schmitt,2021,MDPI,https://www.mdpi.com/2071-1050/13/7/4038/pdf,"sustainability Article Reframing a Novel Decentralized Knowledge Management Concept as a Desirable Vision: As We May Realize the Memex Ulrich Schmitt   Citation: Schmitt, U. Reframing ..."
SKG: A Versatile Information Retrieval and Analysis Framework for Academic Papers with Semantic Knowledge Graphs,"Yamei Tu, Rui Qiu, Han-Wei Shen",2023,arXiv,https://arxiv.org/pdf/2306.04758.pdf,[We gratefully acknowledge support from\ \ the Simons Foundation and member institutions.](https://confluence.cornell.edu/x/ALlRF)
(PDF) Human Digital Twin: A Survey,,2022,ResearchGate,https://www.researchgate.net/publication/366348018_Human_Digital_Twin_A_Survey,- [Home](https://www.researchgate.net/directory/publications) - [Maternity Care](https://www.researchgate.net/topic/Maternity-Care/publications) - [Pregnancy](https://www.researchgate.net/topic/Pregna...
Digital Twins and Knowledge Graphs,EK Team,2022,Other,https://enterprise-knowledge.com/digital-twins-and-knowledge-graphs/,Enterprise knowledge graphs are one of the **[fastest growing trends in knowledge management](https://enterprise-knowledge.com/knowledge-management-trends-in-2022/)****.** Their intuitive and flexible...
Systems Architecture Design Pattern Catalog for Developing Digital ...,Cor Verdouw,2020,MDPI,https://www.mdpi.com/1424-8220/20/18/5103,"## 1\. Introduction A digital twin refers to a digital replica of potential or actual entities (i.e., physical twin) \[ [1](http://www.mdpi.com/www.mdpi.com#B1-sensors-20-05103), [2](http://www.mdpi.c..."
A Context Model for Personal Data Streams,"Fausto Giunchiglia,Xiaoyue Li,Matteo Busso,Marcelo Rodas-Britez",2022,arXiv,https://export.arxiv.org/pdf/2206.10212v1.pdf,Fausto Giunchiglia fausto.giunchiglia@unitn.it Department of Information Engineering and Computer Science University of Trento TrentoItaly A Context Model for Personal Data Streams Personal Situationa...
Digital Twin Meets Knowledge Graph for Intelligent Manufacturing ...,Symeon Papavassiliou,2024,MDPI,https://www.mdpi.com/1424-8220/24/8/2618,"## 1\. Introduction In today’s highly volatile industrial environment, businesses strive for the continuous integration of innovations that will allow for cost reduction, reduced time to market, and t..."
[PDF] Untitled - DiVA portal,Sofia Duarte,,Other,https://www.diva-portal.org/smash/get/diva2:1802998/FULLTEXT01.pdf,Eksig 2023 “From Abstractness to Concreteness — experiential knowledge and the role of prototypes in design research” Proceedings MILANO 19.06 — 20.06 2023 k= eksig RY oc faiphorabopeenal Seciely DIPA...
Scalability of generative knowledge management systems: designing for individuals' and institutions' mutual benefit,Ulrich Schmitt,2020,Other,https://www.emerald.com/insight/content/doi/10.1108/K-05-2020-0324/full/pdf?title=scalability-of-generative-knowledge-management-systems-designing-for-individuals-and-institutions-mutual-benefit,Ulrich Schmitt Business School University of Stellenbosch Western CapeBellvilleSouth Africa Scalability of generative knowledge management systems: designing for individuals' and institutions' mutual ...
Rationalizing a Personalized Conceptualization for the Digital Transition and Sustainability of Knowledge Management Using the SVIDT Method,Ulrich Schmitt,2018,MDPI,https://www.mdpi.com/2071-1050/10/3/839/pdf,"sustainability Article Rationalizing a Personalized Conceptualization for the Digital Transition and Sustainability of Knowledge Management Using the SVIDT Method Ulrich Schmitt ID Business School, Un..."
Personal Knowledge Graphs: Use Cases in e-learning Platforms,Eleni Ilkou,2022,arXiv,https://arxiv.org/pdf/2203.08507v1.pdf,Eleni Ilkou ilkou@l3s.de L3S Research Center Leibniz University Hannover Hanover Germany Personal Knowledge Graphs: Use Cases in e-learning Platforms 10.1145/nnnnnnn.nnnnnnnsupervised by Prof. Dr. Wol...
