Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords,Source_File,Domain_Category,Access_Type
TimeBench: A Comprehensive Evaluation of Temporal Reasoning Abilities in Large Language Models,"Zheng Chu, Jingchang Chen, Qianglong Chen, Weijiang Yu, Haotian Wang",2023,arXiv,https://arxiv.org/abs/2311.17667,Temporal-cognitive modeling; disjointed time representations; arXiv,Temporal-Cognitive Modeling,arXiv,automatic
Temporal Reasoning in AI systems,"Douglas Lenat, Gary Edwards",2025,arXiv,https://arxiv.org/abs/2502.00020,Temporal-cognitive modeling; disjointed time representations; arXiv,Temporal-Cognitive Modeling,arXiv,automatic
Time-R1: Towards Comprehensive Temporal Reasoning in LLMs,Anonymous Authors,2025,arXiv,https://arxiv.org/abs/2505.13508,Temporal-cognitive modeling; disjointed time representations; arXiv,Temporal-Cognitive Modeling,arXiv,automatic
Temporal reasoning for timeline summarisation in social media,Anonymous Authors,2025,arXiv,https://arxiv.org/abs/2501.00152,Temporal-cognitive modeling; disjointed time representations; arXiv,Temporal-Cognitive Modeling,arXiv,automatic
Large Language Models Can Learn Temporal Reasoning,"Siheng Xiong, Ali Payani, Ramana Kompella, Faramarz Fekri",2024,arXiv,https://arxiv.org/html/2401.06853v3,Temporal-cognitive modeling; disjointed time representations; arXiv,Temporal-Cognitive Modeling,arXiv,automatic
Narrative-of-Thought: Improving Temporal Reasoning of Large Language Models via Recounted Narratives,"Xinliang Frederick Zhang, Nick Beauchamp, Lu Wang",2024,arXiv,https://arxiv.org/html/2410.05558v2,Temporal-cognitive modeling; disjointed time representations; arXiv,Temporal-Cognitive Modeling,arXiv,automatic
A Survey on Temporal Knowledge Graph: Representation Learning and Applications,"Tianxing Wu, Arijit Khan, Melvin Yong, Guilin Qi, Meng Wang",2024,arXiv,https://arxiv.org/html/2403.04782v1,Temporal-cognitive modeling; disjointed time representations; arXiv,Temporal-Cognitive Modeling,arXiv,automatic
Enhancing Temporal Knowledge Graph Representation with Curriculum Learning,"Chanjun Park, Kinam Park, Hyeonseok Moon, Jaehyung Seo, Sugyeong Eo, Heuiseok Lim",2024,Electronics (MDPI),https://www.mdpi.com/2079-9292/13/17/3397,Temporal-cognitive modeling; disjointed time representations; Electronics (MDPI),Temporal-Cognitive Modeling,MDPI,automatic
A temporal knowledge graph reasoning model based on recurrent encoding and contrastive learning,"Qika Lin, Jun Liu, Fangzhi Xu, Yudai Pan, Yifan Zhu, Lingling Zhang, Tianzhe Zhao",2025,PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11784877/,Temporal-cognitive modeling; disjointed time representations; PMC,Temporal-Cognitive Modeling,PubMed/PMC,automatic
The effects of university students' fragmented reading on cognitive development in the new media age: evidence from Chinese higher education,"Xiaoyun Zhang, Yun Gao, Lei Chen, Shiwei Zhou, Chuanhua Gu, Zhaoyang Sun, Nan Li",2022,PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC9415515/,Temporal-cognitive modeling; disjointed time representations; PMC,Temporal-Cognitive Modeling,PubMed/PMC,automatic
Identifying Fragmented Reading and Evaluating Its Influence on Cognition Based on Single Trial Electroencephalogram,"Qi Li, Tzyy-Ping Jung, Chin-Teng Lin",2021,Frontiers in Human Neuroscience,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2021.753735/full,Temporal-cognitive modeling; disjointed time representations; Frontiers in Human Neuroscience,Temporal-Cognitive Modeling,Frontiers,automatic
The temporal window of visual processing throughout adulthood,"Giulio Contemori, Maria Lev, Uri Polat, Andrea Bonaccorsi, Marcello Maniglia",2025,Frontiers in Neuroscience,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2025.1547959/full,Temporal-cognitive modeling; disjointed time representations; Frontiers in Neuroscience,Temporal-Cognitive Modeling,Frontiers,automatic
The Role of Physical Activity on Spatial and Temporal Cognitive Processing in Young Women,"Carolina Figueiredo, Pedro Forte, Luís Branquinho, José Eduardo Teixeira, António Miguel Monteiro, Ricardo Ferraz",2025,Brain Sciences (MDPI),https://www.mdpi.com/2076-3425/15/5/431,Temporal-cognitive modeling; disjointed time representations; Brain Sciences (MDPI),Temporal-Cognitive Modeling,MDPI,automatic
Multiscale Functional Connectivity analysis of episodic memory reconstruction,"Sarah Genon, Simon B. Eickhoff, Shahrzad Kharabian",2024,Frontiers in Cognition,https://www.frontiersin.org/journals/cognition/articles/10.3389/fcogn.2024.1433234/full,Temporal-cognitive modeling; disjointed time representations; Frontiers in Cognition,Temporal-Cognitive Modeling,Frontiers,automatic
