Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords,Source_File,Domain_Category,Access_Type
Issues and challenges in Cloud Storage Architecture: A Survey,Various Authors,2020,arXiv,https://arxiv.org/abs/2004.06809,Cloud storage architectural challenges scalability issues data management,Storage Architecture Limitations,arXiv,automatic
An Efficient Big Data Storage Service Architecture,Various Authors,2022,IEEE Conference,https://ieeexplore.ieee.org/document/9776303/,Big data storage architecture service efficiency performance optimization,Storage Architecture Limitations,IEEE Xplore,institutional
Spatial big data architecture: From Data Warehouses and Data Lakes to the LakeHouse,Various Authors,2023,Journal of Parallel and Distributed Computing,https://dl.acm.org/doi/abs/10.1016/j.jpdc.2023.02.007,Spatial data storage limitations lakehouse architecture distributed storage,Storage Architecture Limitations,ACM Digital Library,institutional
Native Cloud Object Storage in Db2 Warehouse: Implementing a Fast and Cost-Efficient Cloud Storage Architecture,Various Authors,2024,ACM SIGMOD,https://dl.acm.org/doi/abs/10.1145/3626246.3653393,Cloud object storage database architecture cost efficiency constraints,Storage Architecture Limitations,ACM Digital Library,institutional
En4S: Enabling SLOs in Serverless Storage Systems,Various Authors,2024,ACM Symposium on Cloud Computing,https://dl.acm.org/doi/abs/10.1145/3698038.3698529,Serverless storage limitations SLO management performance guarantees,Storage Architecture Limitations,ACM Digital Library,institutional
Benchmarking scalability and elasticity of distributed database systems,Various Authors,2020,VLDB Endowment,https://dl.acm.org/doi/10.14778/2732977.2732995,Distributed database scalability elasticity limitations benchmarking,Storage Architecture Limitations,ACM Digital Library,institutional
Wear leveling in SSDs considered harmful,Various Authors,2022,ACM Hot Topics in Storage,https://dl.acm.org/doi/10.1145/3538643.3539750,SSD wear leveling limitations flash storage endurance write amplification,Storage Architecture Limitations,ACM Digital Library,institutional
Auto-tuning for HPC storage stack: an optimization perspective,Various Authors,2024,CCF Transactions on High Performance Computing,https://link.springer.com/article/10.1007/s42514-024-00198-8,HPC storage bottlenecks I/O performance optimization auto-tuning,Storage Architecture Limitations,Springer,institutional
Runtime Performance Anomaly Diagnosis in Production HPC Systems Using Active Learning,Various Authors,2024,IEEE Transactions on Parallel and Distributed Systems,https://dl.acm.org/doi/abs/10.1109/TPDS.2024.3365462,HPC storage performance anomalies runtime diagnosis system bottlenecks,Storage Architecture Limitations,ACM Digital Library,institutional
NVM in Data Storage: A Post-Optane Future,Various Authors,2024,ACM Transactions on Storage,https://dl.acm.org/doi/10.1145/3731454,Non-volatile memory limitations post-Optane challenges storage architecture,Storage Architecture Limitations,ACM Digital Library,institutional
An NVM Performance Study Towards Whole System Persistence on Server Platforms,Various Authors,2023,ACM Workshop on Disruptive Memory Systems,https://dl.acm.org/doi/10.1145/3609308.3625269,NVM performance bottlenecks system persistence server platform constraints,Storage Architecture Limitations,ACM Digital Library,institutional
Persistent Memory-based Storage Node for HPC Domain,Various Authors,2022,SNIA,https://www.snia.org/educational-library/persistent-memory-based-storage-node-hpc-domain-2022,Persistent memory limitations HPC storage bottlenecks I/O performance,Storage Architecture Limitations,Other (snia.org),manual
Towards more scalability and flexibility for distributed storage systems,Various Authors,2020,ResearchGate,https://www.researchgate.net/publication/332865660_Towards_more_scalability_and_flexibility_for_distributed_storage_systems,Distributed storage scalability flexibility constraints system design,Storage Architecture Limitations,ResearchGate,automatic
Key Management for Large-Scale Distributed Storage Systems,Various Authors,2021,SpringerLink,https://link.springer.com/chapter/10.1007/978-3-642-16441-5_7,Large-scale storage security key management overhead scalability constraints,Storage Architecture Limitations,Springer,institutional
Consistency rationing in the cloud: pay only when it matters,Various Authors,2020,VLDB Endowment,https://dl.acm.org/doi/10.14778/1687627.1687657,Cloud storage consistency trade-offs availability constraints CAP theorem,Storage Architecture Limitations,ACM Digital Library,institutional
Cloud Analytics Benchmark,Various Authors,2023,VLDB Endowment,https://dl.acm.org/doi/10.14778/3583140.3583156,Cloud analytics performance storage system benchmarking scalability analysis,Storage Architecture Limitations,ACM Digital Library,institutional
Anticipating Requests to Improve Performance and Reduce Costs in Cloud Storage,Various Authors,2020,ACM SIGMETRICS,https://dl.acm.org/doi/abs/10.1145/2847220.2847226,Cloud storage performance optimization cost reduction request prediction,Storage Architecture Limitations,ACM Digital Library,institutional
Cloud storage tier optimization through storage object classification,Various Authors,2024,Computing Journal,https://link.springer.com/article/10.1007/s00607-024-01281-2,Storage tier optimization object classification cost-performance trade-offs,Storage Architecture Limitations,Springer,institutional
Investigation on storage level data integrity strategies in cloud computing,Various Authors,2024,Journal of Cloud Computing,https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-024-00605-z,Cloud storage integrity security constraints data protection limitations,Storage Architecture Limitations,Springer Open,automatic
Occam's Razor for Distributed Protocols,Various Authors,2024,ACM Symposium on Cloud Computing,https://dl.acm.org/doi/10.1145/3698038.3698514,Distributed protocol complexity storage system design architectural simplification,Storage Architecture Limitations,ACM Digital Library,institutional
On-demand and Parallel Checkpoint/Restore for GPU Applications,Various Authors,2024,ACM Symposium on Cloud Computing,https://dl.acm.org/doi/10.1145/3698038.3698510,GPU storage checkpointing parallel I/O limitations performance bottlenecks,Storage Architecture Limitations,ACM Digital Library,institutional
New ERA: New efficient reliability-aware wear leveling for endurance enhancement of flash storage devices,Various Authors,2020,ResearchGate,https://www.researchgate.net/publication/261306963_New_ERA_New_efficient_reliability-aware_wear_leveling_for_endurance_enhancement_of_flash_storage_devices,Flash storage endurance wear leveling efficiency reliability constraints,Storage Architecture Limitations,ResearchGate,automatic
Endurance considerations for Flash Storage Devices,IBM Systems,2021,IBM Support,https://www.ibm.com/support/pages/endurance-considerations-flash-storage-devices-ibm-systems,Flash storage endurance limitations enterprise considerations lifetime management,Storage Architecture Limitations,Other (ibm.com),manual
Building a Large-Scale Distributed Storage System Based on Raft,Various Authors,2020,DZone/CNCF,https://www.cncf.io/blog/2019/11/04/building-a-large-scale-distributed-storage-system-based-on-raft/,Distributed consensus limitations Raft protocol scalability large-scale constraints,Storage Architecture Limitations,Other (cncf.io),manual
Consistency in Distributed Storage Systems,Various Authors,2021,SpringerLink,https://link.springer.com/chapter/10.1007/978-3-642-40148-0_13,Distributed storage consistency models trade-off analysis system design constraints,Storage Architecture Limitations,Springer,institutional
A Review of Privacy-preserving Federated Learning for the Internet-of-Things,Multiple Authors,2020,arXiv,https://arxiv.org/abs/2004.11794,IoT federated learning review with privacy preservation methods,Privacy-Preserving Federated Learning,arXiv,automatic
Secure Federated Learning With Fully Homomorphic Encryption for IoT Communications,Multiple Authors,2023,IEEE Communications,https://ieeexplore.ieee.org/document/10208145/,Fully homomorphic encryption for IoT federated learning,Privacy-Preserving Federated Learning,IEEE Xplore,institutional
Privacy-preserving Federated Learning based on Multi-key Homomorphic Encryption,Multiple Authors,2021,arXiv,https://arxiv.org/abs/2104.06824,Multi-key HE protocol for federated learning privacy,Privacy-Preserving Federated Learning,arXiv,automatic
Skefl: Single-Key Homomorphic Encryption for Secure Federated Learning,Multiple Authors,2022,arXiv,https://arxiv.org/abs/2212.11394,Single-key HE approach balancing security and performance,Privacy-Preserving Federated Learning,arXiv,automatic
A Selective Homomorphic Encryption Approach for Faster Privacy-Preserving Federated Learning,Multiple Authors,2025,arXiv,https://arxiv.org/abs/2501.12911,Selective encryption for 90% faster execution,Privacy-Preserving Federated Learning,arXiv,automatic
QuanCrypt-FL: Quantized Homomorphic Encryption with Pruning for Secure Federated Learning,Multiple Authors,2024,arXiv,https://arxiv.org/abs/2411.05260v1,Quantized HE with pruning for communication overhead reduction,Privacy-Preserving Federated Learning,arXiv,automatic
Federated Learning With Differential Privacy: Algorithms and Performance Analysis,Multiple Authors,2020,IEEE TIFS,https://dl.acm.org/doi/10.1109/TIFS.2020.2988575,Differential privacy algorithms and performance analysis,Privacy-Preserving Federated Learning,ACM Digital Library,institutional
Differentially private secure multi-party computation for federated learning in financial applications,Multiple Authors,2020,ACM ICAIF,https://dl.acm.org/doi/abs/10.1145/3383455.3422562,Financial applications with DP-SMPC,Privacy-Preserving Federated Learning,ACM Digital Library,institutional
MPCFL: Towards Multi-party Computation for Secure Federated Learning Aggregation,Multiple Authors,2023,IEEE/ACM UCC,https://dl.acm.org/doi/10.1145/3603166.3632144,MPC-based secure aggregation framework,Privacy-Preserving Federated Learning,ACM Digital Library,institutional
Privacy Preserving Federated Learning in Medical Imaging with Uncertainty Estimation,Multiple Authors,2024,arXiv,https://arxiv.org/html/2406.12815v1,Medical imaging FL with uncertainty and privacy,Privacy-Preserving Federated Learning,arXiv,automatic
Advances in Privacy Preserving Federated Learning to Realize a Truly Learning Healthcare System,Multiple Authors,2024,arXiv,https://ar5iv.labs.arxiv.org/html/2409.19756,Healthcare system privacy-preserving FL advances,Privacy-Preserving Federated Learning,arXiv,automatic
Toward Privacy Preserving Federated Learning in Internet of Vehicular Things,Multiple Authors,2021,IEEE,https://ieeexplore.ieee.org/document/9556600/,Vehicular IoT privacy-preserving federated learning,Privacy-Preserving Federated Learning,IEEE Xplore,institutional
A Secure Federated Learning framework using Homomorphic Encryption and Verifiable Computing,Multiple Authors,2021,IEEE,https://ieeexplore.ieee.org/document/9452005/,HE and verifiable computing framework,Privacy-Preserving Federated Learning,IEEE Xplore,institutional
Secure Federated Learning for Parkinson's Disease: Non-IID Data Partitioning and Homomorphic Encryption Strategies,Multiple Authors,2024,IEEE,https://ieeexplore.ieee.org/document/10666687/,Medical application with HE strategies,Privacy-Preserving Federated Learning,IEEE Xplore,institutional
Privacy-preserving in Blockchain-based Federated Learning Systems,Multiple Authors,2024,arXiv,https://arxiv.org/html/2401.03552v1,Blockchain integration for privacy preservation,Privacy-Preserving Federated Learning,arXiv,automatic
Auditing Privacy Defenses in Federated Learning via Generative Gradient Leakage,Multiple Authors,2022,arXiv,https://arxiv.org/abs/2203.15696,Gradient leakage attack analysis and defense,Privacy-Preserving Federated Learning,arXiv,automatic
FedMIA: An Effective Membership Inference Attack Exploiting All for One Principle in Federated Learning,Multiple Authors,2024,arXiv,https://arxiv.org/abs/2402.06289,Membership inference attack methodology,Privacy-Preserving Federated Learning,arXiv,automatic
Trading Off Privacy Utility and Efficiency in Federated Learning,Multiple Authors,2023,ACM TIST,https://dl.acm.org/doi/10.1145/3595185,Privacy-utility-efficiency tradeoff analysis,Privacy-Preserving Federated Learning,ACM Digital Library,institutional
Privacy and Fairness in Federated Learning: On the Perspective of Tradeoff,Multiple Authors,2023,ACM Computing Surveys,https://dl.acm.org/doi/10.1145/3606017,Comprehensive survey on privacy-fairness tradeoffs,Privacy-Preserving Federated Learning,ACM Digital Library,institutional
Balancing privacy and performance in federated learning: A systematic literature review,Multiple Authors,2024,ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0743731524000820,Systematic review of privacy-performance balance,Privacy-Preserving Federated Learning,ScienceDirect,institutional
Toward the Tradeoffs between Privacy Fairness and Utility in Federated Learning,Multiple Authors,2023,arXiv,https://arxiv.org/abs/2311.18190,Multi-dimensional tradeoff analysis,Privacy-Preserving Federated Learning,arXiv,automatic
Privacy preservation in federated learning: An insightful survey from the GDPR perspective,Multiple Authors,2021,ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0167404821002261,GDPR compliance survey for federated learning,Privacy-Preserving Federated Learning,ScienceDirect,institutional
Group verifiable secure aggregate federated learning based on secret sharing,Multiple Authors,2025,Nature Scientific Reports,https://www.nature.com/articles/s41598-025-94478-0,Secret sharing for verifiable secure aggregation,Privacy-Preserving Federated Learning,Nature,institutional
Membership Inference Attacks and Defenses in Federated Learning: A Survey,Multiple Authors,2024,arXiv,https://arxiv.org/html/2412.06157v1,Comprehensive MIA survey and defense mechanisms,Privacy-Preserving Federated Learning,arXiv,automatic
Share Your Representation Only: Guaranteed Improvement of the Privacy-Utility Tradeoff in Federated Learning,Multiple Authors,2024,OpenReview,https://openreview.net/forum?id=oJpVVGXu9i,Representation learning for improved privacy-utility tradeoff,Privacy-Preserving Federated Learning,OpenReview,automatic
Large Scale Multimodal Data Capture Evaluation and Maintenance Framework for Autonomous Driving Datasets,Not specified,2020,IEEE Conference Publication,https://ieeexplore.ieee.org/document/9022151,Autonomous driving data collection framework with standardized evaluation methods,Multimodal Data Capture Standardization,IEEE Xplore,institutional
Lessons Learnt from a Multimodal Learning Analytics Deployment In-the-Wild,Not specified,2023,ACM Transactions on Computer-Human Interaction,https://dl.acm.org/doi/10.1145/3622784,MMLA deployment standards and consent frameworks for multimodal data research,Multimodal Data Capture Standardization,ACM Digital Library,institutional
Multimodal Object Detection using Depth and Image Data for Manufacturing Parts,Not specified,2024,arXiv,https://arxiv.org/html/2411.09062v2,Multi-sensor calibration and alignment standards for RGB-depth data fusion,Multimodal Data Capture Standardization,arXiv,automatic
Continuous multimodal data supply chain and expandable clinical decision support for oncology,Not specified,2025,npj Digital Medicine,https://www.nature.com/articles/s41746-025-01508-2,Healthcare multimodal data integration standards using HL7 FHIR and quality control protocols,Multimodal Data Capture Standardization,Nature,institutional
Simplifying Multimodal Clinical Research Data Management: Introducing an Integrated and User-friendly Database Concept,Not specified,2024,PMC/PubMed Central,https://pmc.ncbi.nlm.nih.gov/articles/PMC10972680/,Clinical data management standards with validation mechanisms and quality control measures,Multimodal Data Capture Standardization,PubMed/PMC,automatic
Multimodal sensor fusion in the latent representation space,Not specified,2022,Scientific Reports,https://www.nature.com/articles/s41598-022-24754-w,Standardized sensor fusion framework using deep learning and generative models,Multimodal Data Capture Standardization,Nature,institutional
Sensor Data Acquisition and Multimodal Sensor Fusion for Human Activity Recognition Using Deep Learning,Not specified,2019,MDPI Sensors,https://www.mdpi.com/1424-8220/19/7/1716,Systematic study of sensor positioning and data acquisition protocols for HAR systems,Multimodal Data Capture Standardization,MDPI Open Access,automatic
An Incremental Learning Framework to Enhance Teaching by Demonstration Based on Multimodal Sensor Fusion,Not specified,2020,Frontiers in Neurorobotics,https://www.frontiersin.org/journals/neurorobotics/articles/10.3389/fnbot.2020.00055/full,Robot learning framework combining incremental learning with multimodal sensor fusion standards,Multimodal Data Capture Standardization,Frontiers Open Access,automatic
Multimodal sensor fusion framework for residential building occupancy detection,Not specified,2021,ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0378778821011129,Framework unifying camera microphone and environmental sensor data using ensemble methods,Multimodal Data Capture Standardization,ScienceDirect,institutional
A Comprehensive Framework for Multimodal Sensor Fusion in Intelligent Manufacturing: Innovations Interpretability and Real-world Applications,Not specified,2024,Journal of Computer Technology and Applied Mathematics,https://www.suaspress.org/ojs/index.php/JCTAM/article/view/v1n4a05,Hybrid fusion method with attention mechanisms for intelligent manufacturing sensor integration,Multimodal Data Capture Standardization,Other (suaspress.org),manual
Guidelines for designing and building an automated multimodal textual annotation system,Not specified,2023,ACM Multimodal Interaction Conference,https://dl.acm.org/doi/10.1145/3610661.3616182,Guidelines for automated multimodal annotation systems with four use-cases and data collection protocols,Multimodal Data Capture Standardization,ACM Digital Library,institutional
Multimodal Coherence Revisited: Notes on the Move From Theory to Data in Annotating Print Advertisements,Not specified,2022,Frontiers in Communication,https://www.frontiersin.org/journals/communication/articles/10.3389/fcomm.2022.900994/full,Annotation framework for multimodal coherence with six dimensions and empirical validation guidelines,Multimodal Data Capture Standardization,Frontiers Open Access,automatic
The Multimodal Annotation Software Tool (MAST),Not specified,2022,ACL Anthology,https://aclanthology.org/2022.lrec-1.736/,Software tool for multimodal document analysis with standardized annotation schemas and relation establishment,Multimodal Data Capture Standardization,ACL Anthology,automatic
MultiBench: Multiscale Benchmarks for Multimodal Representation Learning,Not specified,2021,OpenReview,https://openreview.net/forum?id=izzQAL8BciY,Unified benchmark spanning 15 datasets 10 modalities 20 prediction tasks with standardized evaluation pipeline,Multimodal Data Capture Standardization,OpenReview,automatic
SPIQA: Scientific Paper Image Question Answering,Not specified,2024,NeurIPS,https://neurips.cc/virtual/2024/events/datasets-benchmarks-2024,Large-scale QA dataset for interpreting scientific figures with standardized evaluation splits,Multimodal Data Capture Standardization,Other (neurips.cc),manual
InfoMAE: Pair-Efficient Cross-Modal Alignment for Multimodal Time-Series Sensing Signals,Not specified,2025,ACM Web Conference,https://dl.acm.org/doi/10.1145/3696410.3714853,Cross-modal alignment framework for multimodal SSL with information theory-based formulation,Multimodal Data Capture Standardization,ACM Digital Library,institutional
Practical Aspects of Cross-Vendor TSN Time Synchronization Using IEEE 802.1AS,Not specified,2024,MDPI,https://www.mdpi.com/2224-2708/14/4/67,Time-Sensitive Networking standards for cross-vendor interoperability and synchronization protocols,Multimodal Data Capture Standardization,MDPI Open Access,automatic
IoT Network Model with Multimodal Node Distribution and Data-Collecting Mechanism Using Mobile Clustering Nodes,Not specified,2023,MDPI Electronics,https://www.mdpi.com/2079-9292/12/6/1410,IoT framework with DBSCAN clustering for multimodal sensor data collection and mobile clustering protocols,Multimodal Data Capture Standardization,MDPI Open Access,automatic
Quality and Relevance Metrics for Selection of Multimodal Pretraining Data,Not specified,2020,CVPR Workshop,https://openaccess.thecvf.com/content_CVPRW_2020/papers/w56/Rao_Quality_and_Relevance_Metrics_for_Selection_of_Multimodal_Pretraining_Data_CVPRW_2020_paper.pdf,Metrics for multimodal data quality assessment using CLIPScore and cosine similarity filtering,Multimodal Data Capture Standardization,CVF Open Access,automatic
Blind Multimodal Quality Assessment of Low-Light Images,Not specified,2024,International Journal of Computer Vision,https://link.springer.com/article/10.1007/s11263-024-02239-9,BIQA framework for multimodal quality assessment in low-light applications with automated scoring,Multimodal Data Capture Standardization,Springer,institutional
A Survey on Benchmarks of Multimodal Large Language Models,Not specified,2024,arXiv,https://arxiv.org/abs/2408.08632,Comprehensive review of 200+ MLLM benchmarks covering perception understanding cognition and reasoning,Multimodal Data Capture Standardization,arXiv,automatic
MMMU: A Massive Multi-discipline Multimodal Understanding and Reasoning Benchmark for Expert AGI,Not specified,2023,arXiv,https://arxiv.org/abs/2311.16502,Benchmark with 11.5K questions covering 6 disciplines for college-level multimodal reasoning evaluation,Multimodal Data Capture Standardization,arXiv,automatic
MAVERIX: Multimodal Audio-Visual Evaluation Reasoning IndeX,Not specified,2024,ResearchGate,https://www.researchgate.net/publication/390247649_MAVERIX_Multimodal_Audio-Visual_Evaluation_Reasoning_IndeX,Novel benchmark with 700 videos and 2556 questions for audiovisual model evaluation,Multimodal Data Capture Standardization,ResearchGate,automatic
An Ecosystem for Personal Knowledge Graphs: A Survey and Research Roadmap,Krisztian Balog et al.,2023,Journal of Web Semantics,https://www.sciencedirect.com/science/article/pii/S2666651024000044,Survey paper; PKG ecosystem; research roadmap; foundational concepts,Personal Knowledge Graphs,ScienceDirect,institutional
PKG API: A Tool for Personal Knowledge Graph Management,Nolwenn Bernard et al.,2024,ACM Web Conference,https://dl.acm.org/doi/10.1145/3589335.3651247,PKG management tool; natural language interface; API development,Personal Knowledge Graphs,ACM Digital Library,institutional
