Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords,Source_File,Domain_Category,Access_Type
An Efficient Big Data Storage Service Architecture,Various Authors,2022,IEEE Conference,https://ieeexplore.ieee.org/document/9776303/,Big data storage architecture service efficiency performance optimization,Storage Architecture Limitations,IEEE Xplore,institutional
Spatial big data architecture: From Data Warehouses and Data Lakes to the LakeHouse,Various Authors,2023,Journal of Parallel and Distributed Computing,https://dl.acm.org/doi/abs/10.1016/j.jpdc.2023.02.007,Spatial data storage limitations lakehouse architecture distributed storage,Storage Architecture Limitations,ACM Digital Library,institutional
Native Cloud Object Storage in Db2 Warehouse: Implementing a Fast and Cost-Efficient Cloud Storage Architecture,Various Authors,2024,ACM SIGMOD,https://dl.acm.org/doi/abs/10.1145/3626246.3653393,Cloud object storage database architecture cost efficiency constraints,Storage Architecture Limitations,ACM Digital Library,institutional
En4S: Enabling SLOs in Serverless Storage Systems,Various Authors,2024,ACM Symposium on Cloud Computing,https://dl.acm.org/doi/abs/10.1145/3698038.3698529,Serverless storage limitations SLO management performance guarantees,Storage Architecture Limitations,ACM Digital Library,institutional
Benchmarking scalability and elasticity of distributed database systems,Various Authors,2020,VLDB Endowment,https://dl.acm.org/doi/10.14778/2732977.2732995,Distributed database scalability elasticity limitations benchmarking,Storage Architecture Limitations,ACM Digital Library,institutional
Wear leveling in SSDs considered harmful,Various Authors,2022,ACM Hot Topics in Storage,https://dl.acm.org/doi/10.1145/3538643.3539750,SSD wear leveling limitations flash storage endurance write amplification,Storage Architecture Limitations,ACM Digital Library,institutional
Auto-tuning for HPC storage stack: an optimization perspective,Various Authors,2024,CCF Transactions on High Performance Computing,https://link.springer.com/article/10.1007/s42514-024-00198-8,HPC storage bottlenecks I/O performance optimization auto-tuning,Storage Architecture Limitations,Springer,institutional
Runtime Performance Anomaly Diagnosis in Production HPC Systems Using Active Learning,Various Authors,2024,IEEE Transactions on Parallel and Distributed Systems,https://dl.acm.org/doi/abs/10.1109/TPDS.2024.3365462,HPC storage performance anomalies runtime diagnosis system bottlenecks,Storage Architecture Limitations,ACM Digital Library,institutional
NVM in Data Storage: A Post-Optane Future,Various Authors,2024,ACM Transactions on Storage,https://dl.acm.org/doi/10.1145/3731454,Non-volatile memory limitations post-Optane challenges storage architecture,Storage Architecture Limitations,ACM Digital Library,institutional
An NVM Performance Study Towards Whole System Persistence on Server Platforms,Various Authors,2023,ACM Workshop on Disruptive Memory Systems,https://dl.acm.org/doi/10.1145/3609308.3625269,NVM performance bottlenecks system persistence server platform constraints,Storage Architecture Limitations,ACM Digital Library,institutional
Key Management for Large-Scale Distributed Storage Systems,Various Authors,2021,SpringerLink,https://link.springer.com/chapter/10.1007/978-3-642-16441-5_7,Large-scale storage security key management overhead scalability constraints,Storage Architecture Limitations,Springer,institutional
Consistency rationing in the cloud: pay only when it matters,Various Authors,2020,VLDB Endowment,https://dl.acm.org/doi/10.14778/1687627.1687657,Cloud storage consistency trade-offs availability constraints CAP theorem,Storage Architecture Limitations,ACM Digital Library,institutional
Cloud Analytics Benchmark,Various Authors,2023,VLDB Endowment,https://dl.acm.org/doi/10.14778/3583140.3583156,Cloud analytics performance storage system benchmarking scalability analysis,Storage Architecture Limitations,ACM Digital Library,institutional
Anticipating Requests to Improve Performance and Reduce Costs in Cloud Storage,Various Authors,2020,ACM SIGMETRICS,https://dl.acm.org/doi/abs/10.1145/2847220.2847226,Cloud storage performance optimization cost reduction request prediction,Storage Architecture Limitations,ACM Digital Library,institutional
Cloud storage tier optimization through storage object classification,Various Authors,2024,Computing Journal,https://link.springer.com/article/10.1007/s00607-024-01281-2,Storage tier optimization object classification cost-performance trade-offs,Storage Architecture Limitations,Springer,institutional
Occam's Razor for Distributed Protocols,Various Authors,2024,ACM Symposium on Cloud Computing,https://dl.acm.org/doi/10.1145/3698038.3698514,Distributed protocol complexity storage system design architectural simplification,Storage Architecture Limitations,ACM Digital Library,institutional
On-demand and Parallel Checkpoint/Restore for GPU Applications,Various Authors,2024,ACM Symposium on Cloud Computing,https://dl.acm.org/doi/10.1145/3698038.3698510,GPU storage checkpointing parallel I/O limitations performance bottlenecks,Storage Architecture Limitations,ACM Digital Library,institutional
Consistency in Distributed Storage Systems,Various Authors,2021,SpringerLink,https://link.springer.com/chapter/10.1007/978-3-642-40148-0_13,Distributed storage consistency models trade-off analysis system design constraints,Storage Architecture Limitations,Springer,institutional
Secure Federated Learning With Fully Homomorphic Encryption for IoT Communications,Multiple Authors,2023,IEEE Communications,https://ieeexplore.ieee.org/document/10208145/,Fully homomorphic encryption for IoT federated learning,Privacy-Preserving Federated Learning,IEEE Xplore,institutional
Federated Learning With Differential Privacy: Algorithms and Performance Analysis,Multiple Authors,2020,IEEE TIFS,https://dl.acm.org/doi/10.1109/TIFS.2020.2988575,Differential privacy algorithms and performance analysis,Privacy-Preserving Federated Learning,ACM Digital Library,institutional
Differentially private secure multi-party computation for federated learning in financial applications,Multiple Authors,2020,ACM ICAIF,https://dl.acm.org/doi/abs/10.1145/3383455.3422562,Financial applications with DP-SMPC,Privacy-Preserving Federated Learning,ACM Digital Library,institutional
MPCFL: Towards Multi-party Computation for Secure Federated Learning Aggregation,Multiple Authors,2023,IEEE/ACM UCC,https://dl.acm.org/doi/10.1145/3603166.3632144,MPC-based secure aggregation framework,Privacy-Preserving Federated Learning,ACM Digital Library,institutional
Toward Privacy Preserving Federated Learning in Internet of Vehicular Things,Multiple Authors,2021,IEEE,https://ieeexplore.ieee.org/document/9556600/,Vehicular IoT privacy-preserving federated learning,Privacy-Preserving Federated Learning,IEEE Xplore,institutional
