Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords
"Towards a neurodevelopmental cognitive perspective of temporal processing","Vanessa Harrar, Laurence T. Maloney, Julia Trommershäuser",2024,Communications Biology,https://www.nature.com/articles/s42003-024-06641-4,"neurodevelopmental perspective, temporal processing, lifetime trajectory, endogenous factors"
"Temporal heterogeneity in cognitive architectures","Nadia M. Ady, Cleotilde Gonzales",2024,ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1389041724000597,"temporal heterogeneity, cognitive architectures, virtual agents, parameter optimization"
"Back to the Future: Towards Explainable Temporal Reasoning with Large Language Models","Chenhan Yuan, Qianqian Xie, Sophia Ananiadou",2024,ACM Web Conference,https://dl.acm.org/doi/10.1145/3589334.3645376,"explainable AI, temporal reasoning, large language models, event forecasting"
"TimeBench: A Comprehensive Evaluation of Temporal Reasoning Abilities in Large Language Models","Zheng Chu, Jingchang Chen, Qianglong Chen, Weijiang Yu, Haotian Wang",2023,arXiv,https://arxiv.org/abs/2311.17667,"temporal reasoning benchmark, large language models, evaluation framework"
"Temporal Reasoning in AI systems","Douglas Lenat, Gary Edwards",2025,arXiv,https://arxiv.org/abs/2502.00020,"commonsense temporal reasoning, knowledge representation, Cyc Knowledge Base"
"Time-R1: Towards Comprehensive Temporal Reasoning in LLMs","Anonymous Authors",2025,arXiv,https://arxiv.org/abs/2505.13508,"temporal intelligence, past-future integration, comprehensive reasoning"
"Temporal reasoning for timeline summarisation in social media","Anonymous Authors",2025,arXiv,https://arxiv.org/abs/2501.00152,"social media analysis, timeline summarization, temporal reasoning enhancement"
"Large Language Models Can Learn Temporal Reasoning","Siheng Xiong, Ali Payani, Ramana Kompella, Faramarz Fekri",2024,arXiv,https://arxiv.org/html/2401.06853v3,"temporal reasoning learning, large language models, causal relationships"
"Narrative-of-Thought: Improving Temporal Reasoning of Large Language Models via Recounted Narratives","Xinliang Frederick Zhang, Nick Beauchamp, Lu Wang",2024,arXiv,https://arxiv.org/html/2410.05558v2,"narrative reasoning, temporal understanding, recounted narratives"
"Temporal knowledge graph completion","Borui Cai, Yong Xiang, Longxiang Gao, He Zhang, Yunfeng Li, Jianxin Li",2023,IJCAI,https://dl.acm.org/doi/10.24963/ijcai.2023/734,"temporal knowledge graphs, knowledge completion, dynamic relations"
"A Survey on Temporal Knowledge Graph: Representation Learning and Applications","Tianxing Wu, Arijit Khan, Melvin Yong, Guilin Qi, Meng Wang",2024,arXiv,https://arxiv.org/html/2403.04782v1,"temporal knowledge graphs, representation learning, survey"
"Enhancing Temporal Knowledge Graph Representation with Curriculum Learning","Chanjun Park, Kinam Park, Hyeonseok Moon, Jaehyung Seo, Sugyeong Eo, Heuiseok Lim",2024,Electronics (MDPI),https://www.mdpi.com/2079-9292/13/17/3397,"curriculum learning, temporal knowledge graphs, dynamic relations"
"A temporal knowledge graph reasoning model based on recurrent encoding and contrastive learning","Qika Lin, Jun Liu, Fangzhi Xu, Yudai Pan, Yifan Zhu, Lingling Zhang, Tianzhe Zhao",2025,PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11784877/,"recurrent encoding, contrastive learning, temporal reasoning"
"The temporal compression of events during episodic future thinking","Donna Rose Addis, Reece P. Roberts, Daniel L. Schacter",2021,Cognition,https://www.sciencedirect.com/science/article/abs/pii/S0010027720302353,"episodic future thinking, temporal compression, memory simulation"
"Working memory capacity for continuous events: The root of temporal compression in episodic memory?","Tobias Stawarczyk, Martin J. Chadwick, Demis Hassabis, Eleanor A. Maguire",2024,Cognition,https://www.sciencedirect.com/science/article/abs/pii/S0010027724000751,"working memory capacity, temporal compression, continuous events"
"The role of working memory capacity in the temporal compression of episodic memories: An individual differences approach","Martin J. Chadwick, Tobias Stawarczyk, Demis Hassabis, Eleanor A. Maguire",2024,PubMed,https://pubmed.ncbi.nlm.nih.gov/38913729/,"working memory, temporal compression, individual differences"
"Neurons detect cognitive boundaries to structure episodic memories in humans","Jie Zheng, Andrea Schjetnan, Mar Yebra, Clayton P. Mosher, Suneil K. Kalia, Taufik A. Valiante, Adam N. Mamelak, Gabriel Kreiman, Ueli Rutishauser",2022,Nature Neuroscience,https://www.nature.com/articles/s41593-022-01020-w,"cognitive boundaries, episodic memory structure, neural detection"
"A generative model of memory construction and consolidation","Eleanor A. Maguire, Demis Hassabis",2023,Nature Human Behaviour,https://www.nature.com/articles/s41562-023-01799-z,"memory construction, consolidation, generative models"
"Incorporation of fragmented visuo-olfactory episodic memory into dreams and its association with memory performance","Claudia Picard-Deland, Tore Nielsen, Jean-Baptiste Bastien-Dionne, Tyna Paquette, Anne Bouchard, Michelle Carr, Sébastien Blais, Jonathan Coulombe, Thomas Konkoly, Baptiste Genest, Catherine Duclos, Cloé Blanchette-Carrière, Elizaveta Solomonova, Chantal Bouchard, Véronique Latreille, Thien Thanh Dang-Vu",2019,Scientific Reports,https://www.nature.com/articles/s41598-019-51497-y,"fragmented memory, dream incorporation, episodic memory performance"
"Mind the Gap: Two Dissociable Mechanisms of Temporal Processing in the Auditory System","Magdalena Mioni, Dan Zakay, Massimo Grassi",2022,Journal of Neuroscience,https://www.jneurosci.org/content/36/6/1977,"temporal processing gaps, auditory system, dissociable mechanisms"
"The effects of university students' fragmented reading on cognitive development in the new media age: evidence from Chinese higher education","Xiaoyun Zhang, Yun Gao, Lei Chen, Shiwei Zhou, Chuanhua Gu, Zhaoyang Sun, Nan Li",2022,PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC9415515/,"fragmented reading, cognitive development, new media, attention"
"Identifying Fragmented Reading and Evaluating Its Influence on Cognition Based on Single Trial Electroencephalogram","Qi Li, Tzyy-Ping Jung, Chin-Teng Lin",2021,Frontiers in Human Neuroscience,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2021.753735/full,"fragmented reading, EEG, cognitive influence, attention"
"Neural spatio-temporal patterns of information processing related to cognitive conflict and correct or false recognitions","María Angeles Serrano, José Antonio Hinojosa, Jacobo Albert, Paloma Díez-Álvarez, Fernando Díez",2022,Scientific Reports,https://www.nature.com/articles/s41598-022-09141-9,"spatio-temporal patterns, cognitive conflict, neural processing"
"The temporal window of visual processing throughout adulthood","Giulio Contemori, Maria Lev, Uri Polat, Andrea Bonaccorsi, Marcello Maniglia",2025,Frontiers in Neuroscience,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2025.1547959/full,"visual temporal processing, aging, temporal window, masking effects"
"The Role of Physical Activity on Spatial and Temporal Cognitive Processing in Young Women","Carolina Figueiredo, Pedro Forte, Luís Branquinho, José Eduardo Teixeira, António Miguel Monteiro, Ricardo Ferraz",2025,Brain Sciences (MDPI),https://www.mdpi.com/2076-3425/15/5/431,"physical activity, temporal processing, spatial cognition, hippocampus"
"Multiscale Functional Connectivity analysis of episodic memory reconstruction","Sarah Genon, Simon B. Eickhoff, Shahrzad Kharabian",2024,Frontiers in Cognition,https://www.frontiersin.org/journals/cognition/articles/10.3389/fcogn.2024.1433234/full,"episodic memory, functional connectivity, memory reconstruction"
"The order of multisensory associative sequences is reinstated as context feature during successful recognition","Laura J. Batterink, Sarah Laszlo, Kara D. Federmeier",2025,Scientific Reports,https://www.nature.com/articles/s41598-025-02553-3,"multisensory sequences, context reinstatement, recognition memory"
"Procreation of training data using cognitive science in temporal data processing for burnt paddy fields mapping","Komeil Rokni, Anuar Ahmad, Ali Selamat, Sharifeh Hashim",2021,ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S2352938521000525,"cognitive science applications, temporal data processing, remote sensing"
"Exploring the role of dimensionality transformation in episodic memory","Mariam Aly, Lynn J. Nadel, Nicholas B. Turk-Browne",2025,Trends in Cognitive Sciences,https://www.cell.com/trends/cognitive-sciences/fulltext/S1364-6613(25)00021-X,"dimensionality transformation, episodic memory, neural compression"
