Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords
"A Survey on Temporal Knowledge Graph: Representation Learning and Applications",Borui Cai et al.,2024,arXiv,https://arxiv.org/abs/2403.04782,Comprehensive survey on TKG representation learning methods and applications
"A Survey on Temporal Knowledge Graph Completion: Taxonomy Progress and Prospects",Jiapu Wang et al.,2023,arXiv,https://arxiv.org/abs/2308.02457,Survey on TKGC methods with taxonomy and future prospects
"TGB 2.0: A Benchmark for Learning on Temporal Knowledge Graphs and Heterogeneous Graphs",Julia Gastinger et al.,2024,arXiv/NeurIPS,https://arxiv.org/abs/2406.09639,Large-scale benchmarking framework for temporal knowledge graphs
"Temporal Knowledge Graph Question Answering: A Survey",Costas Mavromatis et al.,2024,arXiv,https://arxiv.org/abs/2406.14191,Survey on temporal knowledge graph question answering systems
"Chain of History: Learning and Forecasting with LLMs for Temporal Knowledge Graph Completion",Ruilin Luo et al.,2024,arXiv,https://arxiv.org/abs/2401.06072,LLM-based approach for temporal knowledge graph completion
"Temporal Knowledge Graph Completion: A Survey",Borui Cai et al.,2023,IJCAI,https://www.ijcai.org/proceedings/2023/0734.pdf,First comprehensive survey on temporal knowledge graph completion
"Temporal Knowledge Graph Reasoning with Historical Contrastive Learning",Yixing Xu et al.,2022,arXiv,https://arxiv.org/abs/2211.10904,Contrastive learning approach for temporal reasoning
"TeRo: A Time-aware Knowledge Graph Embedding via Temporal Rotation",Chengjin Xu et al.,2020,COLING,https://aclanthology.org/2020.coling-main.139/,Temporal rotation in complex space for TKG embeddings
"TLogic: Temporal Logical Rules for Explainable Link Forecasting on Temporal Knowledge Graphs",Yushan Liu et al.,2022,AAAI,https://arxiv.org/abs/2112.08025,Explainable temporal reasoning using logical rules
"Temporal Knowledge Graph Completion Using Box Embeddings",Johannes Messner et al.,2022,AAAI,https://aaai.org/papers/07779-temporal-knowledge-graph-completion-using-box-embeddings/,Box embedding approach for temporal knowledge graphs
"StreamE: Learning to Update Representations for Temporal Knowledge Graphs in Streaming Scenarios",Jiasheng Zhang et al.,2023,SIGIR,https://dl.acm.org/doi/10.1145/3539618.3591772,Streaming updates for temporal knowledge graph representations
"GenTKG: Generative Forecasting on Temporal Knowledge Graph with Large Language Models",Ruotong Liao et al.,2023,arXiv,https://arxiv.org/abs/2310.07793,Generative LLM approach for temporal forecasting
"Temporal Knowledge Graph Completion with Approximated Gaussian Process Embedding",Lingjuan Zhang et al.,2022,COLING,https://aclanthology.org/2022.coling-1.416/,Gaussian process embeddings for temporal completion
"HGE: Embedding Temporal Knowledge Graphs in a Product Space of Heterogeneous Geometric Subspaces",Jiaxin Pan et al.,2023,arXiv,https://arxiv.org/abs/2312.13680,Heterogeneous geometric embeddings for temporal KGs
"Towards Temporal Knowledge Graph Embeddings with Arbitrary Time Precision",Lingjuan Zhang et al.,2020,CIKM,https://dl.acm.org/doi/abs/10.1145/3340531.3412028,Arbitrary time precision in temporal embeddings
"Temporal Knowledge Graph Completion using a Linear Temporal Regularizer and Multivector Embeddings",Chengjin Xu et al.,2021,NAACL,https://aclanthology.org/2021.naacl-main.202/,Linear temporal regularization with multivector embeddings
"Temporal Knowledge Graph Reasoning Based on Evolutional Representation Learning",Zi Chen et al.,2021,SIGIR,https://dl.acm.org/doi/abs/10.1145/3404835.3462963,Evolutional representation learning for temporal reasoning
"A Novel Semantic-Enhanced Time-Aware Model for Temporal Knowledge Graph Completion",Liang Zhang et al.,2023,Springer LNCS,https://link.springer.com/chapter/10.1007/978-3-031-44696-2_12,Semantic enhancement for time-aware TKG completion
"Learning temporal granularity with quadruplet networks for temporal knowledge graph completion",Kangzheng Liu et al.,2025,Nature Scientific Reports,https://www.nature.com/articles/s41598-025-00446-z,Quadruplet networks for temporal granularity learning
"A Temporal Knowledge Graph Generation Dataset Supervised Distantly by Large Language Models",Yishan Li et al.,2025,Nature Scientific Data,https://www.nature.com/articles/s41597-025-05062-0,LLM-supervised dataset for temporal KG generation
"Selective Temporal Knowledge Graph Reasoning",Zhongni Hou et al.,2024,LREC-COLING,https://aclanthology.org/2024.lrec-main.1268/,Selective reasoning with confidence estimation
"Event-Centric Temporal Knowledge Graph Construction: A Survey",Timotej Knez et al.,2023,Mathematics MDPI,https://www.mdpi.com/2227-7390/11/23/4852,Survey on event-centric temporal KG construction
"A Brief Survey on Deep Learning-Based Temporal Knowledge Graph Completion",Borui Cai et al.,2024,Applied Sciences MDPI,https://www.mdpi.com/2076-3417/14/19/8871,Deep learning methods for temporal KG completion
"Temporal Knowledge Graph Completion with Time-sensitive Relations in Hypercomplex Space",Zifeng Ding et al.,2024,arXiv,https://arxiv.org/abs/2403.02355,Hypercomplex space embeddings for time-sensitive relations
"A contrastive learning framework with dual gates and noise awareness for temporal knowledge graph reasoning",Yongquan He et al.,2025,Nature Scientific Reports,https://www.nature.com/articles/s41598-025-00314-w,Contrastive learning with dual gates for TKG reasoning
